# symbol=YBUSDT,side=SHORT,entry_price=0.1492,exit_price=0.1461,exit_reason=trailing_expansion,sl_price=0.1509904,tp_price=0.146962,leverage=10
ts,seconds,price,ret_margin_pct
1775205363.645,0.0,0.1492,0.0
1775205364.674,1.0,0.1496,-2.681
1775205365.723,2.1,0.1495,-2.0107
1775205366.836,3.2,0.1492,0.0
1775205367.903,4.3,0.1496,-2.681
1775205369.083,5.4,0.1493,-0.6702
1775205370.135,6.5,0.1494,-1.3405
1775205371.24,7.6,0.1492,0.0
1775205372.322,8.7,0.1491,0.6702
1775205373.339,9.7,0.1488,2.681
1775205374.356,10.7,0.1489,2.0107
1775205375.682,12.0,0.1492,0.0
1775205376.696,13.1,0.1492,0.0
1775205377.891,14.2,0.1489,2.0107
1775205378.933,15.3,0.1487,3.3512
1775205379.935,16.3,0.1487,3.3512
1775205380.978,17.3,0.1489,2.0107
1775205382.335,18.7,0.1487,3.3512
1775205383.449,19.8,0.1487,3.3512
1775205384.718,21.1,0.1486,4.0214
1775205385.797,22.2,0.1488,2.681
1775205386.918,23.3,0.1486,4.0214
1775205387.928,24.3,0.1485,4.6917
1775205389.05,25.4,0.1486,4.0214
1775205390.26,26.6,0.1485,4.6917
1775205391.314,27.7,0.1483,6.0322
1775205392.346,28.7,0.1482,6.7024
1775205393.382,29.7,0.1482,6.7024
1775205394.489,30.8,0.1484,5.3619
1775205395.626,32.0,0.1483,6.0322
1775205396.691,33.0,0.1478,9.3834
1775205397.693,34.0,0.1479,8.7131
1775205398.698,35.1,0.148,8.0429
1775205399.916,36.3,0.1481,7.3727
1775205400.946,37.3,0.148,8.0429
1775205401.948,38.3,0.1479,8.7131
1775205402.964,39.3,0.1481,7.3727
1775205404.037,40.4,0.148,8.0429
1775205405.098,41.5,0.148,8.0429
1775205406.16,42.5,0.1479,8.7131
1775205407.249,43.6,0.1482,6.7024
1775205408.261,44.6,0.1479,8.7131
1775205409.336,45.7,0.148,8.0429
1775205410.583,46.9,0.148,8.0429
1775205411.704,48.1,0.1478,9.3834
1775205412.734,49.1,0.148,8.0429
1775205413.872,50.2,0.148,8.0429
1775205414.895,51.3,0.1481,7.3727
1775205416.024,52.4,0.1481,7.3727
1775205417.097,53.5,0.1483,6.0322
1775205418.108,54.5,0.1486,4.0214
1775205419.35,55.7,0.1484,5.3619
1775205420.446,56.8,0.1484,5.3619
1775205421.577,57.9,0.1481,7.3727
1775205422.612,59.0,0.1483,6.0322
1775205423.976,60.3,0.148,8.0429
1775205425.116,61.5,0.1477,10.0536
1775205426.154,62.5,0.1476,10.7239
1775205427.203,63.6,0.1474,12.0643
1775205428.22,64.6,0.1474,12.0643
1775205429.35,65.7,0.1473,12.7346
1775205430.416,66.8,0.1474,12.0643
1775205431.501,67.9,0.1472,13.4048
1775205432.564,68.9,0.147,14.7453
1775205433.738,70.1,0.1468,16.0858
1775205434.802,71.2,0.1466,17.4263
1775205435.86,72.2,0.1466,17.4263
1775205436.879,73.2,0.1467,16.756
1775205437.991,74.3,0.1468,16.0858
1775205439.103,75.5,0.1466,17.4263
1775205440.245,76.6,0.1465,18.0965
1775205441.386,77.7,0.1466,17.4263
1775205442.442,78.8,0.1467,16.756
1775205443.511,79.9,0.1468,16.0858
1775205444.547,80.9,0.1463,19.437
1775205445.597,82.0,0.1465,18.0965
1775205446.723,83.1,0.1468,16.0858
1775205447.806,84.2,0.1467,16.756
1775205449.125,85.5,0.1466,17.4263
1775205450.25,86.6,0.1465,18.0965
1775205451.474,87.8,0.1467,16.756
1775205452.571,88.9,0.1468,16.0858
1775205453.615,90.0,0.1466,17.4263
1775205454.902,91.3,0.1468,16.0858
1775205455.944,92.3,0.1468,16.0858
1775205456.957,93.3,0.1469,15.4155
1775205458.013,94.4,0.1466,17.4263
1775205459.294,95.6,0.1468,16.0858
1775205460.316,96.7,0.1468,16.0858
1775205461.544,97.9,0.1468,16.0858
1775205462.605,99.0,0.1467,16.756
1775205463.758,100.1,0.1468,16.0858
1775205464.86,101.2,0.1467,16.756
1775205465.91,102.3,0.1466,17.4263
1775205466.932,103.3,0.1466,17.4263
1775205467.979,104.3,0.1466,17.4263
1775205469.21,105.6,0.1467,16.756
1775205470.232,106.6,0.1467,16.756
1775205471.36,107.7,0.1466,17.4263
1775205472.996,109.4,0.1468,16.0858
1775205474.02,110.4,0.1468,16.0858
1775205475.074,111.4,0.1466,17.4263
1775205476.092,112.4,0.1465,18.0965
1775205477.323,113.7,0.1467,16.756
1775205478.351,114.7,0.1464,18.7668
1775205479.411,115.8,0.1463,19.437
1775205480.639,117.0,0.1464,18.7668
1775205481.679,118.0,0.1461,20.7775
1775205482.683,119.0,0.1459,22.118
1775205483.724,120.1,0.1459,22.118
1775205484.845,121.2,0.146,21.4477
1775205485.817,122.2,0.1461,20.7775
