# symbol=ZENUSDT,side=LONG,entry_price=5.157,exit_price=5.157,exit_reason=lifecycle_reversal,sl_price=5.095116,tp_price=5.234355,leverage=10
ts,seconds,price,ret_margin_pct
1775204769.913,0.0,5.157,0.0
1775204777.149,7.2,5.157,0.0
1775204780.363,10.4,5.158,0.1939
1775204793.918,24.0,5.157,0.0
1775204795.928,26.0,5.158,0.1939
1775204797.589,27.7,5.158,0.1939
1775204801.055,31.1,5.157,0.0
1775204807.512,37.6,5.157,0.0
1775204808.588,38.7,5.157,0.0
1775204815.891,46.0,5.158,0.1939
1775204821.092,51.2,5.157,0.0
1775204822.36,52.4,5.156,-0.1939
1775204826.362,56.4,5.156,-0.1939
1775204827.853,57.9,5.158,0.1939
1775204845.865,76.0,5.157,0.0
1775204852.013,82.1,5.158,0.1939
1775204856.22,86.3,5.157,0.0
1775204858.174,88.3,5.156,-0.1939
1775204860.007,90.1,5.156,-0.1939
1775204866.2,96.3,5.156,-0.1939
1775204875.679,105.8,5.156,-0.1939
1775204878.773,108.9,5.157,0.0
1775204880.147,110.2,5.156,-0.1939
1775204891.061,121.1,5.156,-0.1939
1775204895.409,125.5,5.157,0.0
1775204909.53,139.6,5.156,-0.1939
1775204919.639,149.7,5.157,0.0
1775204928.118,158.2,5.156,-0.1939
1775204932.637,162.7,5.156,-0.1939
1775204935.98,166.1,5.157,0.0
1775204940.696,170.8,5.157,0.0
1775204942.109,172.2,5.157,0.0
1775204945.813,175.9,5.157,0.0
