# symbol=±“∞≤»À…˙USDT,side=LONG,entry_price=0.04981,exit_price=0.04986,exit_reason=strategy_stop,sl_price=0.04971038,tp_price=0.050557149999999995,leverage=10
ts,seconds,price,ret_margin_pct
1775185447.027,0.0,0.04981,0.0
1775185448.701,1.7,0.04988,1.4053
1775185449.735,2.7,0.04983,0.4015
1775185450.749,3.7,0.04979,-0.4015
1775185451.9,4.9,0.0498,-0.2008
1775185453.324,6.3,0.04983,0.4015
1775185455.155,8.1,0.04982,0.2008
1775185456.819,9.8,0.04982,0.2008
1775185459.383,12.4,0.04982,0.2008
1775185461.527,14.5,0.04982,0.2008
1775185462.805,15.8,0.04982,0.2008
1775185464.578,17.6,0.04982,0.2008
1775185465.758,18.7,0.04982,0.2008
1775185467.5,20.5,0.04983,0.4015
1775185470.083,23.1,0.04981,0.0
1775185472.038,25.0,0.04981,0.0
1775185473.856,26.8,0.04982,0.2008
1775185475.746,28.7,0.04982,0.2008
1775185478.153,31.1,0.04981,0.0
1775185481.021,34.0,0.04983,0.4015
1775185482.639,35.6,0.04983,0.4015
1775185484.248,37.2,0.04983,0.4015
1775185486.749,39.7,0.04983,0.4015
1775185489.203,42.2,0.04981,0.0
1775185490.807,43.8,0.04981,0.0
1775185491.981,45.0,0.04984,0.6023
1775185493.35,46.3,0.04985,0.8031
1775185495.91,48.9,0.04986,1.0038
1775185497.858,50.8,0.04983,0.4015
1775185500.17,53.1,0.04984,0.6023
1775185501.637,54.6,0.04983,0.4015
1775185502.693,55.7,0.04984,0.6023
1775185504.355,57.3,0.04988,1.4053
1775185505.513,58.5,0.04991,2.0076
1775185506.885,59.9,0.04991,2.0076
1775185508.512,61.5,0.0499,1.8069
1775185511.383,64.4,0.04991,2.0076
1775185513.727,66.7,0.0499,1.8069
1775185514.961,67.9,0.0499,1.8069
1775185516.145,69.1,0.04987,1.2046
1775185517.362,70.3,0.04985,0.8031
1775185519.713,72.7,0.04984,0.6023
1775185520.75,73.7,0.04983,0.4015
1775185522.096,75.1,0.04981,0.0
1775185524.897,77.9,0.04986,1.0038
1775185525.936,78.9,0.0499,1.8069
1775185528.915,81.9,0.0499,1.8069
1775185530.965,83.9,0.0499,1.8069
1775185533.276,86.2,0.04988,1.4053
1775185534.294,87.3,0.0498,-0.2008
1775185535.631,88.6,0.04983,0.4015
1775185537.096,90.1,0.04982,0.2008
1775185539.417,92.4,0.04981,0.0
1775185541.326,94.3,0.04979,-0.4015
1775185542.413,95.4,0.0498,-0.2008
1775185544.293,97.3,0.04979,-0.4015
1775185545.316,98.3,0.0498,-0.2008
1775185548.063,101.0,0.04979,-0.4015
1775185549.199,102.2,0.04979,-0.4015
1775185550.935,103.9,0.04979,-0.4015
1775185552.1,105.1,0.04979,-0.4015
1775185554.399,107.4,0.04979,-0.4015
1775185556.557,109.5,0.04979,-0.4015
1775185558.01,111.0,0.04979,-0.4015
1775185560.508,113.5,0.04979,-0.4015
1775185563.89,116.9,0.04979,-0.4015
1775185566.376,119.3,0.04979,-0.4015
1775185571.711,124.7,0.04979,-0.4015
1775185573.157,126.1,0.0498,-0.2008
1775185575.992,129.0,0.0498,-0.2008
1775185577.938,130.9,0.04979,-0.4015
1775185579.618,132.6,0.04979,-0.4015
1775185580.777,133.7,0.04979,-0.4015
1775185581.877,134.9,0.04979,-0.4015
1775185583.547,136.5,0.04979,-0.4015
1775185584.824,137.8,0.04978,-0.6023
1775185590.918,143.9,0.04977,-0.8031
1775185599.951,152.9,0.04984,0.6023
1775185601.128,154.1,0.04986,1.0038
1775185605.914,158.9,0.04986,1.0038
