# symbol=±“∞≤»À…˙USDT,side=LONG,entry_price=0.05224,exit_price=0.05198,exit_reason=lifecycle_reversal,sl_price=0.05161312,tp_price=0.0530236,leverage=10
ts,seconds,price,ret_margin_pct
1775195280.786,0.0,0.05224,0.0
1775195281.917,1.1,0.0522,-0.7657
1775195284.484,3.7,0.05223,-0.1914
1775195285.65,4.9,0.05224,0.0
1775195286.785,6.0,0.05226,0.3828
1775195288.487,7.7,0.05228,0.7657
1775195290.717,9.9,0.05225,0.1914
1775195292.079,11.3,0.05216,-1.5314
1775195293.462,12.7,0.05215,-1.7228
1775195294.56,13.8,0.05222,-0.3828
1775195297.289,16.5,0.05223,-0.1914
1775195298.479,17.7,0.05224,0.0
1775195299.9,19.1,0.05221,-0.5743
1775195306.177,25.4,0.05219,-0.9571
1775195309.789,29.0,0.05219,-0.9571
1775195312.744,32.0,0.05216,-1.5314
1775195314.08,33.3,0.05214,-1.9142
1775195315.399,34.6,0.05214,-1.9142
1775195316.849,36.1,0.05219,-0.9571
1775195321.047,40.3,0.05216,-1.5314
1775195326.21,45.4,0.05216,-1.5314
1775195332.559,51.8,0.05215,-1.7228
1775195337.218,56.4,0.05214,-1.9142
1775195340.514,59.7,0.05215,-1.7228
1775195341.789,61.0,0.0522,-0.7657
1775195344.96,64.2,0.05219,-0.9571
1775195346.509,65.7,0.0522,-0.7657
1775195348.976,68.2,0.05219,-0.9571
1775195351.424,70.6,0.05217,-1.34
1775195356.144,75.4,0.05216,-1.5314
1775195357.231,76.4,0.05216,-1.5314
1775195358.235,77.4,0.05215,-1.7228
1775195359.54,78.8,0.05212,-2.2971
1775195362.722,81.9,0.05213,-2.1057
1775195363.868,83.1,0.05214,-1.9142
1775195370.714,89.9,0.05212,-2.2971
1775195375.802,95.0,0.05214,-1.9142
1775195376.855,96.1,0.05212,-2.2971
1775195378.899,98.1,0.05208,-3.0628
1775195380.753,100.0,0.05211,-2.4885
1775195382.913,102.1,0.05223,-0.1914
1775195384.239,103.5,0.05219,-0.9571
1775195385.574,104.8,0.05221,-0.5743
1775195386.634,105.8,0.05223,-0.1914
1775195387.734,106.9,0.05228,0.7657
1775195389.35,108.6,0.05228,0.7657
1775195392.523,111.7,0.05229,0.9571
1775195395.891,115.1,0.05228,0.7657
1775195398.175,117.4,0.05226,0.3828
1775195399.386,118.6,0.0523,1.1485
1775195400.537,119.8,0.05232,1.5314
1775195401.609,120.8,0.05228,0.7657
1775195402.645,121.9,0.05229,0.9571
1775195403.762,123.0,0.05232,1.5314
1775195404.766,124.0,0.05228,0.7657
1775195406.06,125.3,0.05228,0.7657
1775195407.404,126.6,0.05231,1.34
1775195409.141,128.4,0.0523,1.1485
1775195410.218,129.4,0.05232,1.5314
1775195411.983,131.2,0.05233,1.7228
1775195413.605,132.8,0.05233,1.7228
1775195415.029,134.2,0.05233,1.7228
1775195416.519,135.7,0.05232,1.5314
1775195417.743,137.0,0.05232,1.5314
1775195419.568,138.8,0.05229,0.9571
1775195420.802,140.0,0.05228,0.7657
1775195422.092,141.3,0.05223,-0.1914
1775195424.149,143.4,0.05222,-0.3828
1775195425.632,144.8,0.05217,-1.34
1775195428.694,147.9,0.05216,-1.5314
1775195430.691,149.9,0.05217,-1.34
1775195432.073,151.3,0.05216,-1.5314
1775195435.068,154.3,0.05222,-0.3828
1775195438.02,157.2,0.0522,-0.7657
1775195439.13,158.3,0.05219,-0.9571
1775195440.321,159.5,0.05218,-1.1485
1775195443.56,162.8,0.05218,-1.1485
1775195444.759,164.0,0.05218,-1.1485
1775195447.36,166.6,0.05219,-0.9571
1775195448.509,167.7,0.05219,-0.9571
1775195453.734,172.9,0.05222,-0.3828
1775195455.005,174.2,0.0522,-0.7657
1775195456.637,175.9,0.05218,-1.1485
1775195457.811,177.0,0.05219,-0.9571
1775195458.913,178.1,0.05218,-1.1485
1775195460.634,179.8,0.05222,-0.3828
1775195461.704,180.9,0.05221,-0.5743
1775195463.204,182.4,0.0522,-0.7657
1775195465.263,184.5,0.05214,-1.9142
1775195468.008,187.2,0.05212,-2.2971
1775195470.195,189.4,0.05212,-2.2971
1775195472.079,191.3,0.0521,-2.6799
1775195475.333,194.5,0.05211,-2.4885
1775195476.513,195.7,0.05214,-1.9142
1775195477.753,197.0,0.05216,-1.5314
1775195480.117,199.3,0.05215,-1.7228
1775195481.834,201.0,0.05214,-1.9142
1775195485.465,204.7,0.05212,-2.2971
1775195486.917,206.1,0.05212,-2.2971
1775195488.772,208.0,0.05213,-2.1057
1775195490.22,209.4,0.0521,-2.6799
1775195494.067,213.3,0.05208,-3.0628
1775195495.526,214.7,0.05212,-2.2971
1775195497.383,216.6,0.05209,-2.8714
1775195498.43,217.6,0.0521,-2.6799
1775195500.728,219.9,0.05208,-3.0628
1775195506.614,225.8,0.05211,-2.4885
1775195508.05,227.3,0.0521,-2.6799
1775195511.089,230.3,0.05212,-2.2971
1775195512.34,231.6,0.05211,-2.4885
1775195515.935,235.1,0.05208,-3.0628
1775195517.537,236.8,0.05208,-3.0628
1775195520.639,239.9,0.05207,-3.2542
1775195521.993,241.2,0.05204,-3.8285
1775195523.58,242.8,0.05204,-3.8285
1775195529.068,248.3,0.05207,-3.2542
1775195530.821,250.0,0.05207,-3.2542
1775195533.042,252.3,0.05205,-3.6371
1775195535.557,254.8,0.05204,-3.8285
1775195536.929,256.1,0.05204,-3.8285
1775195542.358,261.6,0.05203,-4.0199
1775195543.446,262.7,0.05198,-4.977
