# symbol=±“∞≤»À…˙USDT,side=SHORT,entry_price=0.05147,exit_price=0.05173,exit_reason=strategy_stop,sl_price=0.0524994,tp_price=0.05069795,leverage=10
ts,seconds,price,ret_margin_pct
1775188855.694,0.0,0.05147,0.0
1775188856.695,1.0,0.05185,-7.3829
1775188857.772,2.1,0.0517,-4.4686
1775188858.779,3.1,0.05165,-3.4972
1775188859.831,4.1,0.05171,-4.6629
1775188860.911,5.2,0.05174,-5.2458
1775188861.914,6.2,0.05166,-3.6915
1775188864.689,9.0,0.05171,-4.6629
1775188865.736,10.0,0.05179,-6.2172
1775188866.774,11.1,0.05183,-6.9944
1775188867.895,12.2,0.05186,-7.5772
1775188869.526,13.8,0.05184,-7.1887
1775188870.613,14.9,0.05186,-7.5772
1775188872.25,16.6,0.05183,-6.9944
1775188873.51,17.8,0.05173,-5.0515
