min_abs_score,max_open_vol,min_open_vol,side,n_trades,total_net_pnl,avg_net_pnl,win_rate,profit_factor,avg_hold_seconds,best_exit_reason,sharpe_proxy
1.8,0.005,0.0,LONG,132,-1.0813,-0.00819,0.3485,0.934,109.4,dynamic_vol_stop,-0.0222
1.8,0.005,0.001,LONG,132,-1.0813,-0.00819,0.3485,0.934,109.4,dynamic_vol_stop,-0.0222
1.8,0.005,0.002,LONG,132,-1.0813,-0.00819,0.3485,0.934,109.4,dynamic_vol_stop,-0.0222
1.8,0.008,0.0,LONG,132,-1.0813,-0.00819,0.3485,0.934,109.4,dynamic_vol_stop,-0.0222
1.8,0.008,0.001,LONG,132,-1.0813,-0.00819,0.3485,0.934,109.4,dynamic_vol_stop,-0.0222
1.8,0.008,0.002,LONG,132,-1.0813,-0.00819,0.3485,0.934,109.4,dynamic_vol_stop,-0.0222
1.8,0.01,0.0,LONG,132,-1.0813,-0.00819,0.3485,0.934,109.4,dynamic_vol_stop,-0.0222
1.8,0.01,0.001,LONG,132,-1.0813,-0.00819,0.3485,0.934,109.4,dynamic_vol_stop,-0.0222
1.8,0.01,0.002,LONG,132,-1.0813,-0.00819,0.3485,0.934,109.4,dynamic_vol_stop,-0.0222
1.8,0.015,0.0,LONG,132,-1.0813,-0.00819,0.3485,0.934,109.4,dynamic_vol_stop,-0.0222
1.8,0.015,0.001,LONG,132,-1.0813,-0.00819,0.3485,0.934,109.4,dynamic_vol_stop,-0.0222
1.8,0.015,0.002,LONG,132,-1.0813,-0.00819,0.3485,0.934,109.4,dynamic_vol_stop,-0.0222
1.8,0.02,0.0,LONG,132,-1.0813,-0.00819,0.3485,0.934,109.4,dynamic_vol_stop,-0.0222
1.8,0.02,0.001,LONG,132,-1.0813,-0.00819,0.3485,0.934,109.4,dynamic_vol_stop,-0.0222
1.8,0.02,0.002,LONG,132,-1.0813,-0.00819,0.3485,0.934,109.4,dynamic_vol_stop,-0.0222
1.8,0.025,0.0,LONG,132,-1.0813,-0.00819,0.3485,0.934,109.4,dynamic_vol_stop,-0.0222
1.8,0.025,0.001,LONG,132,-1.0813,-0.00819,0.3485,0.934,109.4,dynamic_vol_stop,-0.0222
1.8,0.025,0.002,LONG,132,-1.0813,-0.00819,0.3485,0.934,109.4,dynamic_vol_stop,-0.0222
1.5,0.005,0.0,LONG,158,-1.4118,-0.00894,0.3481,0.924,116.7,dynamic_vol_stop,-0.0253
1.5,0.005,0.001,LONG,158,-1.4118,-0.00894,0.3481,0.924,116.7,dynamic_vol_stop,-0.0253
1.5,0.005,0.002,LONG,158,-1.4118,-0.00894,0.3481,0.924,116.7,dynamic_vol_stop,-0.0253
1.5,0.008,0.0,LONG,158,-1.4118,-0.00894,0.3481,0.924,116.7,dynamic_vol_stop,-0.0253
1.5,0.008,0.001,LONG,158,-1.4118,-0.00894,0.3481,0.924,116.7,dynamic_vol_stop,-0.0253
1.5,0.008,0.002,LONG,158,-1.4118,-0.00894,0.3481,0.924,116.7,dynamic_vol_stop,-0.0253
1.5,0.01,0.0,LONG,158,-1.4118,-0.00894,0.3481,0.924,116.7,dynamic_vol_stop,-0.0253
1.5,0.01,0.001,LONG,158,-1.4118,-0.00894,0.3481,0.924,116.7,dynamic_vol_stop,-0.0253
1.5,0.01,0.002,LONG,158,-1.4118,-0.00894,0.3481,0.924,116.7,dynamic_vol_stop,-0.0253
1.5,0.015,0.0,LONG,158,-1.4118,-0.00894,0.3481,0.924,116.7,dynamic_vol_stop,-0.0253
1.5,0.015,0.001,LONG,158,-1.4118,-0.00894,0.3481,0.924,116.7,dynamic_vol_stop,-0.0253
1.5,0.015,0.002,LONG,158,-1.4118,-0.00894,0.3481,0.924,116.7,dynamic_vol_stop,-0.0253
1.5,0.02,0.0,LONG,158,-1.4118,-0.00894,0.3481,0.924,116.7,dynamic_vol_stop,-0.0253
1.5,0.02,0.001,LONG,158,-1.4118,-0.00894,0.3481,0.924,116.7,dynamic_vol_stop,-0.0253
1.5,0.02,0.002,LONG,158,-1.4118,-0.00894,0.3481,0.924,116.7,dynamic_vol_stop,-0.0253
1.5,0.025,0.0,LONG,158,-1.4118,-0.00894,0.3481,0.924,116.7,dynamic_vol_stop,-0.0253
1.5,0.025,0.001,LONG,158,-1.4118,-0.00894,0.3481,0.924,116.7,dynamic_vol_stop,-0.0253
1.5,0.025,0.002,LONG,158,-1.4118,-0.00894,0.3481,0.924,116.7,dynamic_vol_stop,-0.0253
1.0,0.005,0.0,LONG,192,-1.8514,-0.00964,0.3594,0.909,127.6,dynamic_vol_stop,-0.0297
1.0,0.005,0.001,LONG,192,-1.8514,-0.00964,0.3594,0.909,127.6,dynamic_vol_stop,-0.0297
1.0,0.005,0.002,LONG,192,-1.8514,-0.00964,0.3594,0.909,127.6,dynamic_vol_stop,-0.0297
1.0,0.008,0.0,LONG,192,-1.8514,-0.00964,0.3594,0.909,127.6,dynamic_vol_stop,-0.0297
1.0,0.008,0.001,LONG,192,-1.8514,-0.00964,0.3594,0.909,127.6,dynamic_vol_stop,-0.0297
1.0,0.008,0.002,LONG,192,-1.8514,-0.00964,0.3594,0.909,127.6,dynamic_vol_stop,-0.0297
1.0,0.01,0.0,LONG,192,-1.8514,-0.00964,0.3594,0.909,127.6,dynamic_vol_stop,-0.0297
1.0,0.01,0.001,LONG,192,-1.8514,-0.00964,0.3594,0.909,127.6,dynamic_vol_stop,-0.0297
1.0,0.01,0.002,LONG,192,-1.8514,-0.00964,0.3594,0.909,127.6,dynamic_vol_stop,-0.0297
1.0,0.015,0.0,LONG,192,-1.8514,-0.00964,0.3594,0.909,127.6,dynamic_vol_stop,-0.0297
1.0,0.015,0.001,LONG,192,-1.8514,-0.00964,0.3594,0.909,127.6,dynamic_vol_stop,-0.0297
1.0,0.015,0.002,LONG,192,-1.8514,-0.00964,0.3594,0.909,127.6,dynamic_vol_stop,-0.0297
1.0,0.02,0.0,LONG,192,-1.8514,-0.00964,0.3594,0.909,127.6,dynamic_vol_stop,-0.0297
1.0,0.02,0.001,LONG,192,-1.8514,-0.00964,0.3594,0.909,127.6,dynamic_vol_stop,-0.0297
1.0,0.02,0.002,LONG,192,-1.8514,-0.00964,0.3594,0.909,127.6,dynamic_vol_stop,-0.0297
