symbol,trades,total_pnl,avg_pnl,median_pnl,avg_ret_lev_pct,median_ret_lev_pct,avg_hold_seconds,median_hold_seconds,avg_fee,total_fee,win_rate,pnl_per_trade
SYNUSDT,6,0.6861,0.11435000000000001,0.1605,6.211366666666667,7.93655,123.98333333333333,120.05,0.0176,0.1056,0.8333333333333334,0.11435000000000001
TAGUSDT,6,0.5027,0.08378333333333333,0.13175,6.013716666666667,7.9886,139.75,120.75,0.01535,0.0921,0.6666666666666666,0.08378333333333333
VICUSDT,13,0.38460000000000005,0.02958461538461539,0.0658,1.979438461538461,4.1217,140.1,125.9,0.016546153846153846,0.2151,0.5384615384615384,0.02958461538461539
STBLUSDT,4,0.0545,0.013625,0.05575,1.67285,4.07685,335.3,279.25,0.01325,0.053,0.75,0.013625
APRUSDT,6,0.04059999999999998,0.006766666666666664,-0.0282,0.8014499999999999,-0.7457,104.75,132.55,0.01545,0.0927,0.3333333333333333,0.006766666666666664
ONUSDT,5,0.020699999999999996,0.00414,-0.0589,0.83446,-2.0173,75.84,27.4,0.01604,0.0802,0.2,0.00414
AIOTUSDT,40,0.017500000000000238,0.0004375000000000059,-0.2173,1.0800199999999998,-9.7676,62.9375,23.2,0.017405,0.6962,0.225,0.0004375000000000059
BRUSDT,9,-0.0010999999999999621,-0.000122222222222218,0.0615,0.5125111111111116,4.0367,112.80000000000001,120.3,0.01581111111111111,0.14229999999999998,0.5555555555555556,-0.000122222222222218
INITUSDT,3,-0.01780000000000001,-0.0059333333333333365,-0.0518,0.5373000000000001,-2.0696,182.73333333333335,123.8,0.014866666666666667,0.0446,0.3333333333333333,-0.0059333333333333365
DUSDT,13,-0.0364,-0.0028,0.0533,0.34012307692307686,3.7879,321.6769230769231,152.8,0.013600000000000001,0.1768,0.6153846153846154,-0.0028
BLURUSDT,4,-0.07769999999999999,-0.019424999999999998,-0.01675,-0.528675,-0.25525,279.15,305.9,0.01265,0.0506,0.25,-0.019424999999999998
SAPIENUSDT,3,-0.08829999999999999,-0.02943333333333333,-0.0816,-0.7643666666666671,-3.7086,134.56666666666666,120.3,0.015566666666666666,0.0467,0.3333333333333333,-0.02943333333333333
RIVERUSDT,5,-0.13160000000000002,-0.026320000000000003,-0.0431,-0.57256,-1.2245,127.25999999999999,126.6,0.01308,0.0654,0.4,-0.026320000000000003
MAGMAUSDT,5,-0.1358,-0.02716,0.0633,-0.07172000000000019,4.0295,133.88000000000002,122.9,0.014979999999999999,0.0749,0.6,-0.02716
HFTUSDT,5,-0.1388,-0.02776,0.0088,-1.07584,1.3793,226.14000000000001,168.4,0.013900000000000001,0.0695,0.6,-0.02776
PIPPINUSDT,4,-0.16820000000000002,-0.042050000000000004,-0.0539,-1.589375,-2.05455,88.325,45.65,0.012625,0.0505,0.25,-0.042050000000000004
PROMPTUSDT,3,-0.1834,-0.06113333333333334,-0.0585,-2.3946,-2.4176,156.86666666666667,74.1,0.015233333333333333,0.0457,0.0,-0.06113333333333334
CYSUSDT,3,-0.1856,-0.06186666666666666,-0.0452,-3.3111666666666664,-2.0276,74.43333333333334,106.4,0.0121,0.0363,0.0,-0.06186666666666666
XPLUSDT,3,-0.1953,-0.0651,-0.0651,-2.5825,-2.5818,20.166666666666668,17.5,0.015400000000000002,0.046200000000000005,0.0,-0.0651
SIRENUSDT,3,-0.23249999999999998,-0.0775,-0.1346,-3.057033333333333,-6.0296,148.76666666666668,151.1,0.014733333333333334,0.0442,0.3333333333333333,-0.0775
SOLVUSDT,4,-0.33209999999999995,-0.08302499999999999,-0.11185,-4.41925,-6.79045,148.825,125.0,0.012675,0.0507,0.25,-0.08302499999999999
YBUSDT,14,-0.4133,-0.02952142857142857,-0.16595,-0.6430142857142859,-7.58395,116.65714285714286,120.35,0.017314285714285716,0.2424,0.42857142857142855,-0.02952142857142857
STOUSDT,21,-0.4506,-0.02145714285714286,-0.0419,-0.568442857142857,-2.0372,93.4857142857143,107.7,0.014819047619047617,0.3112,0.47619047619047616,-0.02145714285714286
BANKUSDT,11,-0.7095,-0.0645,-0.0442,-2.7475636363636364,-1.1628,232.88181818181818,195.0,0.015836363636363635,0.1742,0.36363636363636365,-0.0645
ONTUSDT,9,-0.7733,-0.08592222222222222,-0.119,-4.0167,-6.0976,84.80000000000001,86.1,0.014544444444444443,0.1309,0.1111111111111111,-0.08592222222222222
ONGUSDT,11,-1.0204,-0.09276363636363637,-0.1372,-3.9816727272727275,-7.0322,73.7909090909091,68.7,0.015936363636363637,0.1753,0.2727272727272727,-0.09276363636363637
币安人生USDT,9,-1.1306,-0.12562222222222222,-0.109,-6.415266666666667,-5.0515,111.35555555555555,114.5,0.014855555555555554,0.13369999999999999,0.1111111111111111,-0.12562222222222222
CTSIUSDT,19,-1.4447,-0.07603684210526317,-0.1916,-2.246268421052632,-7.8947,95.13157894736842,84.6,0.016831578947368423,0.31980000000000003,0.3157894736842105,-0.07603684210526317
