trade_id,symbol,side,entry_time,exit_time,entry_price,exit_price,qty,leverage,open_vol,entry_score,exit_reason,hold_seconds,ret_pct,ret_lev_pct,pnl_usdt,fee_usdt,net_pnl,lc_state_at_exit,aligned_score_at_exit,velocity_at_exit,peak_pnl,drawdown_at_exit
DUSDT_SHORT_1775185034385_f49b2e,DUSDT,SHORT,1775185034.385,1775185184.318,0.007929,0.007945,1934.243844,10,0.002,-1.3573,vol_stop,149.6,-0.2018,-2.0179,-0.0309,0.0123,-0.0432,EXPANSION,1.5573,0.01282,0.0,0.00493
TAGUSDT_LONG_1775185084617_e2e013,TAGUSDT,LONG,1775185084.617,1775185206.135,0.000849,0.000868,21308.762042,10,0.002,1.8411,trailing_expansion,121.3,2.2623,22.6228,0.4091,0.0146,0.3945,EXPANSION,2.2441,0.07087,0.0,0.00115
ONUSDT_LONG_1775185201605_ee391c,ONUSDT,LONG,1775185201.605,1775185229.295,0.08462,0.08445,247.81142,10,0.002,2.0774,vol_stop,27.4,-0.2009,-2.009,-0.0421,0.0168,-0.0589,BUILD,2.0774,0.0,0.0,0.00307
ONUSDT_LONG_1775185229720_fceb8b,ONUSDT,LONG,1775185229.721,1775185230.595,0.08427,0.0841,248.84066,10,0.002,2.0774,vol_stop,0.6,-0.2017,-2.0173,-0.0423,0.0168,-0.0591,BUILD,2.0774,0.0,0.0,0.00202
ONUSDT_LONG_1775185236105_5d6190,ONUSDT,LONG,1775185236.105,1775185238.471,0.08404,0.08386,249.521685,10,0.002,2.0774,vol_stop,2.1,-0.2142,-2.1418,-0.0449,0.0168,-0.0617,BUILD,2.0774,0.0,0.0,0.00214
CHRUSDT_LONG_1775185260558_af2ab7,CHRUSDT,LONG,1775185260.559,1775185261.233,0.0203,0.0202,1108.374384,10,0.002,2.815,vol_stop,0.4,-0.4926,-4.9261,-0.1108,0.018,-0.1288,BUILD,2.815,0.0,0.0,0.00493
XPLUSDT_LONG_1775185265904_ab334a,XPLUSDT,LONG,1775185265.904,1775185299.032,0.1164,0.1161,165.320433,10,0.002,1.7919,vol_stop,32.9,-0.2577,-2.5773,-0.0496,0.0154,-0.065,BUILD,1.7919,0.0,0.0,0.00258
CHRUSDT_LONG_1775185301662_c21174,CHRUSDT,LONG,1775185301.663,1775185302.985,0.0203,0.0202,1108.374384,10,0.00312,2.815,vol_stop,1.0,-0.4926,-4.9261,-0.1108,0.018,-0.1288,BUILD,2.815,0.0,0.0,0.00493
MYXUSDT_SHORT_1775185023508_806498,MYXUSDT,SHORT,1775185023.509,1775185306.215,0.2047,0.2052,78.142006,10,0.002,-1.2408,vol_stop,282.5,-0.2443,-2.4426,-0.0391,0.0128,-0.0519,DECAY,0.6214,0.0802,0.0,0.0049
DUSDT_SHORT_1775185188059_6d75b5,DUSDT,SHORT,1775185188.059,1775185308.794,0.007949,0.007901,2200.455312,10,0.002,-1.5573,trailing_expansion,120.5,0.6038,6.0385,0.1056,0.014,0.0917,EXPANSION,2.381,-0.25773,0.0,0.00101
XPLUSDT_LONG_1775185304856_43f33c,XPLUSDT,LONG,1775185304.856,1775185315.248,0.1162,0.1159,165.604977,10,0.002,1.7919,vol_stop,10.1,-0.2582,-2.5818,-0.0497,0.0154,-0.0651,BUILD,1.7919,0.0,0.0,0.00258
STOUSDT_SHORT_1775185306485_c4b1b1,STOUSDT,SHORT,1775185306.486,1775185317.254,0.18615,0.18653,79.342506,10,0.002,-0.998,vol_stop,10.5,-0.2041,-2.0414,-0.0302,0.0118,-0.042,BUILD,0.998,0.0,0.0,0.00936
STOUSDT_SHORT_1775185317575_30250c,STOUSDT,SHORT,1775185317.575,1775185318.439,0.18653,0.18691,79.180869,10,0.002,-0.998,vol_stop,0.6,-0.2037,-2.0372,-0.0301,0.0118,-0.0419,BUILD,0.998,0.0,0.0,0.0022
NAORISUSDT_SHORT_1775185031269_9b2504,NAORISUSDT,SHORT,1775185031.269,1775185318.834,0.06172,0.06164,222.039545,10,0.002,-0.8448,lifecycle_reversal,287.3,0.1296,1.2962,0.0178,0.011,0.0068,REVERSAL,0.2131,0.12872,0.0,0.00162
ONTUSDT_SHORT_1775185202918_d25a7a,ONTUSDT,SHORT,1775185202.919,1775185324.139,0.104,0.1035,175.190029,10,0.002,-1.5303,trailing_expansion,121.0,0.4808,4.8077,0.0876,0.0145,0.0731,EXPANSION,2.4102,-0.21635,0.0,0.00194
