ts,secs_from_entry,event_type,price,lc_state,aligned_score,velocity,cur_ret,peak_pnl,drawdown,exit_reason,extra
1775193913.035,0.0,entry,0.5169,,0.0,0.0,0.0,0.0,0.0,,score=+0.752 vol=0.2000%
1775193969.663,56.6,rank_snapshot,0.5169,BUILD,-0.2674,-0.12127,0.0,0.0,0.0,,unified=+0.267 held=56s
1775194029.3,116.3,rank_snapshot,0.5166,BUILD,-0.2056,-0.10639,0.0,0.0,0.0,,unified=+0.206 held=116s
1775194090.457,177.4,rank_snapshot,0.517,BUILD,-0.0382,-0.12165,0.0,0.0,0.0,,unified=+0.038 held=177s
1775194150.123,237.1,rank_snapshot,0.5172,BUILD,0.083,-0.12155,0.0,0.0,0.0,,unified=-0.083 held=237s
1775194210.379,297.3,rank_snapshot,0.5179,BUILD,0.152,-0.10839,0.0,0.0,0.0,,unified=-0.152 held=297s
1775194271.114,358.1,rank_snapshot,0.5176,EXPANSION,0.9921,-0.29133,0.0,0.0,0.0,,unified=-0.992 held=358s
1775194271.116,358.1,lifecycle_change,0.5176,EXPANSION,0.9921,-0.29133,-0.00135,0.0,0.0,,BUILD->EXPANSION
1775194331.803,418.8,rank_snapshot,0.5172,EXPANSION,-0.3105,0.10716,0.0,0.0,0.0,,unified=+0.311 held=419s
1775194392.986,480.0,rank_snapshot,0.5167,EXPANSION,1.2794,-0.31711,0.0,0.0,0.0,,unified=-1.279 held=480s
1775194452.626,539.6,rank_snapshot,0.5168,EXPANSION,0.1005,0.0569,0.0,0.0,0.0,,unified=-0.100 held=540s
1775194513.364,600.3,rank_snapshot,0.5169,EXPANSION,0.5137,-0.06063,0.0,0.0,0.0,,unified=-0.514 held=600s
1775194574.644,661.6,rank_snapshot,0.5171,EXPANSION,0.2421,0.02241,0.0,0.0,0.0,,unified=-0.242 held=661s
1775194636.878,723.8,rank_snapshot,0.5172,DECAY,-0.312,0.15534,0.0,0.0,0.0,,unified=+0.312 held=724s
1775194636.878,723.8,lifecycle_change,0.5172,DECAY,-0.312,0.15534,-0.00058,0.0,0.0,,EXPANSION->DECAY
1775194695.613,782.6,rank_snapshot,0.5168,DECAY,0.216,-0.01549,0.0,0.0,0.0,,unified=-0.216 held=783s
1775194756.938,843.9,rank_snapshot,0.5166,EXPANSION,0.8252,-0.16392,0.0,0.0,0.0,,unified=-0.825 held=843s
1775194756.938,843.9,lifecycle_change,0.5166,EXPANSION,0.8252,-0.16392,0.00058,0.0,0.0,,DECAY->EXPANSION
1775194817.082,904.0,rank_snapshot,0.5168,EXPANSION,0.0267,0.07669,0.0,0.0,0.0,,unified=-0.027 held=904s
1775194877.386,964.4,rank_snapshot,0.5164,EXPANSION,0.4918,-0.05876,0.0,0.0,0.0,,unified=-0.492 held=964s
1775194937.545,1024.5,rank_snapshot,0.5169,REVERSAL,-0.8049,0.28011,0.0,0.0,0.0,,unified=+0.805 held=1025s
1775194937.545,1024.5,lifecycle_change,0.5169,REVERSAL,-0.8049,0.28011,0.0,0.0,0.0,,EXPANSION->REVERSAL
1775194938.02,1025.0,exit,0.5169,REVERSAL,-0.8049,0.28011,0.0,0.0,0.00136,lifecycle_reversal,
