ts,secs_from_entry,event_type,price,lc_state,aligned_score,velocity,cur_ret,peak_pnl,drawdown,exit_reason,extra
1775193087.207,0.0,entry,0.03824,,0.0,0.0,0.0,0.0,0.0,,score=+1.139 vol=0.2000%
1775193092.652,5.4,trailing_armed,0.0384,BUILD,0.0,0.0,0.00418,0.0,0.0,,
1775193122.137,34.9,rank_snapshot,0.03933,BUILD,1.0993,-0.00989,0.0,0.0,0.0,,unified=+1.099 held=35s
1775193182.784,95.6,rank_snapshot,0.03909,REVERSAL,-0.4332,-0.39055,0.0,0.0,0.0,,unified=-0.433 held=96s
1775193182.785,95.6,lifecycle_change,0.03909,REVERSAL,-0.4332,-0.39055,0.02223,0.0,0.0,,BUILD->REVERSAL
1775193243.44,156.2,rank_snapshot,0.03963,BUILD,1.4327,0.17356,0.0,0.0,0.0,,unified=+1.433 held=156s
1775193243.44,156.2,lifecycle_change,0.03963,BUILD,1.4327,0.17356,0.03635,0.0,0.0,,REVERSAL->BUILD
1775193303.56,216.4,rank_snapshot,0.04008,BUILD,0.7363,-0.04393,0.0,0.0,0.0,,unified=+0.736 held=216s
1775193363.696,276.5,rank_snapshot,0.03919,EXPANSION,1.6859,0.20446,0.0,0.0,0.0,,unified=+1.686 held=276s
1775193363.696,276.5,lifecycle_change,0.03919,EXPANSION,1.6859,0.20446,0.02484,0.0,0.0,,BUILD->EXPANSION
1775193363.706,276.5,trailing_hit,0.03918,EXPANSION,0.0,0.0,0.02458,0.0,0.03711,,thresh=0.1000%
1775193364.159,277.0,exit,0.03918,EXPANSION,1.6859,0.20446,0.02458,0.0,0.03711,trailing_expansion,
