ts,secs_from_entry,event_type,price,lc_state,aligned_score,velocity,cur_ret,peak_pnl,drawdown,exit_reason,extra
1775194076.258,0.0,entry,0.02687,,0.0,0.0,0.0,0.0,0.0,,score=-2.903 vol=0.2000%
1775194090.457,14.2,rank_snapshot,0.02691,BUILD,2.6991,0.05097,0.0,0.0,0.0,,unified=-2.699 held=14s
1775194150.652,74.4,rank_snapshot,0.0269,BUILD,2.3388,0.12832,0.0,0.0,0.0,,unified=-2.339 held=74s
1775194153.639,77.4,trailing_armed,0.02676,BUILD,0.0,0.0,0.00409,0.0,0.0,,
1775194210.379,134.1,rank_snapshot,0.02667,BUILD,2.3798,0.08597,0.0,0.0,0.0,,unified=-2.380 held=134s
1775194271.119,194.9,rank_snapshot,0.02669,BUILD,2.529,0.0272,0.0,0.0,0.0,,unified=-2.529 held=195s
1775194331.803,255.5,rank_snapshot,0.02675,BUILD,2.1699,0.11016,0.0,0.0,0.0,,unified=-2.170 held=256s
1775194392.986,316.7,rank_snapshot,0.02685,DECAY,1.9677,0.13318,0.0,0.0,0.0,,unified=-1.968 held=317s
1775194392.986,316.7,lifecycle_change,0.02685,DECAY,1.9677,0.13318,0.00074,0.0,0.0,,BUILD->DECAY
1775194452.626,376.4,rank_snapshot,0.02689,DECAY,1.3885,0.24469,0.0,0.0,0.0,,unified=-1.388 held=376s
1775194494.77,418.5,trailing_hit,0.02676,DECAY,0.0,0.0,0.00409,0.0,0.01057,,thresh=0.0500%
1775194495.247,419.0,exit,0.02676,DECAY,1.3885,0.24469,0.00409,0.0,0.01057,trailing_decay,
