ts,secs_from_entry,event_type,price,lc_state,aligned_score,velocity,cur_ret,peak_pnl,drawdown,exit_reason,extra
1775195969.169,0.0,entry,0.02687,,0.0,0.0,0.0,0.0,0.0,,score=-1.364 vol=0.2000%
1775196028.369,59.2,rank_snapshot,0.02694,BUILD,1.3464,0.00442,0.0,0.0,0.0,,unified=-1.346 held=58s
1775196088.038,118.9,rank_snapshot,0.02687,EXPANSION,2.1565,-0.1992,0.0,0.0,0.0,,unified=-2.156 held=119s
1775196088.039,118.9,lifecycle_change,0.02687,EXPANSION,2.1565,-0.1992,0.0,0.0,0.0,,BUILD->EXPANSION
1775196148.687,179.5,rank_snapshot,0.02698,EXPANSION,0.7434,0.20387,0.0,0.0,0.0,,unified=-0.743 held=180s
1775196209.566,240.4,rank_snapshot,0.02696,EXPANSION,1.9811,-0.15653,0.0,0.0,0.0,,unified=-1.981 held=240s
1775196270.277,301.1,rank_snapshot,0.02692,EXPANSION,2.5078,-0.24906,0.0,0.0,0.0,,unified=-2.508 held=301s
1775196330.913,361.7,rank_snapshot,0.02689,EXPANSION,1.5485,0.05302,0.0,0.0,0.0,,unified=-1.549 held=362s
1775196391.754,422.6,rank_snapshot,0.02692,DECAY,1.5793,0.03208,0.0,0.0,0.0,,unified=-1.579 held=423s
1775196391.755,422.6,lifecycle_change,0.02692,DECAY,1.5793,0.03208,-0.00186,0.0,0.0,,EXPANSION->DECAY
1775196453.438,484.3,rank_snapshot,0.02707,DECAY,1.1529,0.13064,0.0,0.0,0.0,,unified=-1.153 held=484s
1775196513.589,544.4,rank_snapshot,0.02703,DECAY,1.8331,-0.07205,0.0,0.0,0.0,,unified=-1.833 held=544s
1775196556.903,587.7,rank_snapshot,0.02714,DECAY,1.8331,-0.07205,0.0,0.0,0.0,,"{'confidence': 1.0, 'sl_dist': 0.01, 'exit_trigger': 'dynamic_vol_stop'}"
1775196557.341,588.2,exit,0.02714,DECAY,1.8331,-0.07205,-0.01005,0.0,0.01193,dynamic_vol_stop,
