ts,secs_from_entry,event_type,price,lc_state,aligned_score,velocity,cur_ret,peak_pnl,drawdown,exit_reason,extra
1775194573.256,0.0,entry,0.02037,,0.0,0.0,0.0,0.0,0.0,,score=+0.906 vol=0.2000%
1775194574.644,1.4,rank_snapshot,0.02036,BUILD,0.7927,-0.02832,0.0,0.0,0.0,,unified=+0.793 held=1s
1775194616.095,42.8,trailing_armed,0.02046,BUILD,0.0,0.0,0.00442,0.0,0.0,,
1775194636.872,63.6,rank_snapshot,0.02044,BUILD,0.46,-0.10442,0.0,0.0,0.0,,unified=+0.460 held=64s
1775194695.613,122.4,rank_snapshot,0.02043,BUILD,0.6702,-0.02577,0.0,0.0,0.0,,unified=+0.670 held=122s
1775194756.53,183.3,rank_snapshot,0.02042,BUILD,-0.1585,-0.22648,0.0,0.0,0.0,,unified=-0.158 held=183s
1775194817.082,243.8,rank_snapshot,0.02037,BUILD,-0.3349,-0.21398,0.0,0.0,0.0,,unified=-0.335 held=243s
1775194876.779,303.5,rank_snapshot,0.02037,REVERSAL,-0.7276,-0.25865,0.0,0.0,0.0,,unified=-0.728 held=304s
1775194876.779,303.5,lifecycle_change,0.02037,REVERSAL,-0.7276,-0.25865,0.0,0.0,0.0,,BUILD->REVERSAL
1775194877.381,304.1,exit,0.02037,REVERSAL,-0.7276,-0.25865,0.0,0.0,0.0044,lifecycle_reversal,
