ts,secs_from_entry,event_type,price,lc_state,aligned_score,velocity,cur_ret,peak_pnl,drawdown,exit_reason,extra
1775204399.596,0.0,entry,0.14235,,0.0,0.0,0.0,0.0,0.0,,score=+1.610 vol=0.2000%
1775204456.956,57.4,trailing_armed,0.14292,BUILD,0.0,0.0,0.004,0.0,0.0,,
1775204459.498,59.9,rank_snapshot,0.14293,BUILD,1.3099,-0.07513,0.0,0.0,0.0,,unified=+1.310 held=60s
1775204520.152,120.6,rank_snapshot,0.1421,BUILD,1.4536,-0.02042,0.0,0.0,0.0,,unified=+1.454 held=121s
1775204581.361,181.8,rank_snapshot,0.14226,EXPANSION,1.5781,0.01581,0.0,0.0,0.0,,unified=+1.578 held=182s
1775204581.362,181.8,lifecycle_change,0.14226,EXPANSION,1.5781,0.01581,-0.00063,0.0,0.0,,BUILD->EXPANSION
1775204642.141,242.5,rank_snapshot,0.14264,EXPANSION,0.6443,-0.22159,0.0,0.0,0.0,,unified=+0.644 held=243s
1775204701.574,302.0,rank_snapshot,0.1424,DECAY,-0.0843,-0.34835,0.0,0.0,0.0,,unified=-0.084 held=302s
1775204701.574,302.0,lifecycle_change,0.1424,DECAY,-0.0843,-0.34835,0.00035,0.0,0.0,,EXPANSION->DECAY
1775204762.9,363.3,rank_snapshot,0.14245,REVERSAL,-1.4953,-0.614,0.0,0.0,0.0,,unified=-1.495 held=363s
1775204762.901,363.3,lifecycle_change,0.14245,REVERSAL,-1.4953,-0.614,0.0007,0.0,0.0,,DECAY->REVERSAL
1775204763.378,363.8,exit,0.14245,REVERSAL,-1.4953,-0.614,0.0007,0.0,0.00482,lifecycle_reversal,
