ts,secs_from_entry,event_type,price,lc_state,aligned_score,velocity,cur_ret,peak_pnl,drawdown,exit_reason,extra
1775204767.778,0.0,entry,0.0407,,0.0,0.0,0.0,0.0,0.0,,score=-1.740 vol=0.2000%
1775204774.17,6.4,trailing_armed,0.0405,BUILD,0.0,0.0,0.00491,0.0,0.0,,
1775204823.485,55.7,rank_snapshot,0.0406,BUILD,1.4166,0.08096,0.0,0.0,0.0,,unified=-1.417 held=55s
1775204884.122,116.3,rank_snapshot,0.0408,EXPANSION,1.9539,-0.07361,0.0,0.0,0.0,,unified=-1.954 held=115s
1775204884.122,116.3,lifecycle_change,0.0408,EXPANSION,1.9539,-0.07361,-0.00246,0.0,0.0,,BUILD->EXPANSION
1775204945.814,178.0,rank_snapshot,0.0409,EXPANSION,0.4832,0.31247,0.0,0.0,0.0,,unified=-0.483 held=176s
1775205004.427,236.6,rank_snapshot,0.0406,EXPANSION,2.8499,-0.35732,0.0,0.0,0.0,,unified=-2.850 held=236s
1775205064.457,296.7,rank_snapshot,0.0407,EXPANSION,-0.0203,0.44956,0.0,0.0,0.0,,unified=+0.020 held=296s
1775205124.58,356.8,rank_snapshot,0.0408,DECAY,1.311,0.00433,0.0,0.0,0.0,,unified=-1.311 held=356s
1775205124.58,356.8,lifecycle_change,0.0408,DECAY,1.311,0.00433,-0.00246,0.0,0.0,,EXPANSION->DECAY
1775205162.477,394.7,rank_snapshot,0.0412,DECAY,1.311,0.00433,0.0,0.0,0.0,,"{'confidence': 1.0, 'sl_dist': 0.01, 'exit_trigger': 'dynamic_vol_stop'}"
1775205163.961,396.2,exit,0.0412,DECAY,1.311,0.00433,-0.01229,0.0,0.01728,dynamic_vol_stop,
