ts,secs_from_entry,event_type,price,lc_state,aligned_score,velocity,cur_ret,peak_pnl,drawdown,exit_reason,extra
1775193064.475,0.0,entry,0.007556,,0.0,0.0,0.0,0.0,0.0,,score=-1.563 vol=0.2000%
1775193122.137,57.7,rank_snapshot,0.007561,BUILD,0.8405,0.18056,0.0,0.0,0.0,,unified=-0.840 held=58s
1775193182.785,118.3,rank_snapshot,0.007541,EXPANSION,2.0429,-0.16518,0.0,0.0,0.0,,unified=-2.043 held=118s
1775193182.785,118.3,lifecycle_change,0.007541,EXPANSION,2.0429,-0.16518,0.00199,0.0,0.0,,BUILD->EXPANSION
1775193243.442,179.0,rank_snapshot,0.007538,EXPANSION,1.2704,0.06924,0.0,0.0,0.0,,unified=-1.270 held=179s
1775193284.946,220.5,trailing_armed,0.007524,EXPANSION,0.0,0.0,0.00424,0.0,0.0,,
1775193304.032,239.6,rank_snapshot,0.007536,EXPANSION,1.9895,-0.12786,0.0,0.0,0.0,,unified=-1.990 held=239s
1775193363.697,299.2,rank_snapshot,0.007554,EXPANSION,0.9394,0.16664,0.0,0.0,0.0,,unified=-0.939 held=299s
1775193423.827,359.4,rank_snapshot,0.007553,EXPANSION,1.6742,-0.05872,0.0,0.0,0.0,,unified=-1.674 held=359s
1775193484.492,420.0,rank_snapshot,0.007536,EXPANSION,1.2756,0.05562,0.0,0.0,0.0,,unified=-1.276 held=420s
1775193544.791,480.3,rank_snapshot,0.007545,EXPANSION,1.9022,-0.11495,0.0,0.0,0.0,,unified=-1.902 held=480s
1775193605.46,541.0,rank_snapshot,0.007568,EXPANSION,1.5167,0.01016,0.0,0.0,0.0,,unified=-1.517 held=541s
1775193666.156,601.7,rank_snapshot,0.007589,DECAY,0.3279,0.30483,0.0,0.0,0.0,,unified=-0.328 held=602s
1775193666.159,601.7,lifecycle_change,0.007589,DECAY,0.3279,0.30483,-0.00437,0.0,0.0,,EXPANSION->DECAY
1775193728.088,663.6,rank_snapshot,0.007588,DECAY,1.8319,-0.14738,0.0,0.0,0.0,,unified=-1.832 held=662s
1775193788.191,723.7,rank_snapshot,0.00759,EXPANSION,1.7721,-0.09559,0.0,0.0,0.0,,unified=-1.772 held=723s
1775193788.192,723.7,lifecycle_change,0.00759,EXPANSION,1.7721,-0.09559,-0.0045,0.0,0.0,,DECAY->EXPANSION
1775193848.298,783.8,rank_snapshot,0.007593,EXPANSION,0.8057,0.1699,0.0,0.0,0.0,,unified=-0.806 held=784s
1775193908.515,844.0,rank_snapshot,0.007576,EXPANSION,2.5118,-0.29909,0.0,0.0,0.0,,unified=-2.512 held=844s
1775193969.186,904.7,rank_snapshot,0.007561,EXPANSION,0.938,0.16914,0.0,0.0,0.0,,unified=-0.938 held=905s
1775194029.296,964.8,rank_snapshot,0.007561,EXPANSION,1.6743,-0.05722,0.0,0.0,0.0,,unified=-1.674 held=965s
1775194090.457,1026.0,rank_snapshot,0.007537,EXPANSION,2.629,-0.2816,0.0,0.0,0.0,,unified=-2.629 held=1026s
1775194150.123,1085.6,rank_snapshot,0.007554,EXPANSION,1.2769,0.12684,0.0,0.0,0.0,,unified=-1.277 held=1086s
1775194210.379,1145.9,rank_snapshot,0.007558,EXPANSION,2.6052,-0.23695,0.0,0.0,0.0,,unified=-2.605 held=1146s
1775194270.224,1205.7,trailing_hit,0.007525,EXPANSION,0.0,0.0,0.0041,0.0,0.00133,,thresh=0.1000%
1775194270.531,1206.1,exit,0.007525,EXPANSION,2.6052,-0.23695,0.0041,0.0,0.00133,trailing_expansion,
