ts,secs_from_entry,event_type,price,lc_state,aligned_score,velocity,cur_ret,peak_pnl,drawdown,exit_reason,extra
1775194270.917,0.0,entry,0.007528,,0.0,0.0,0.0,0.0,0.0,,score=-2.605 vol=0.2000%
1775194271.123,0.2,rank_snapshot,0.007528,BUILD,2.3098,0.07386,0.0,0.0,0.0,,unified=-2.310 held=0s
1775194331.803,60.9,rank_snapshot,0.007555,BUILD,1.6227,0.22715,0.0,0.0,0.0,,unified=-1.623 held=61s
1775194392.986,122.1,rank_snapshot,0.007553,BUILD,1.6772,0.15674,0.0,0.0,0.0,,unified=-1.677 held=122s
1775194452.626,181.7,rank_snapshot,0.00757,BUILD,2.0768,0.01766,0.0,0.0,0.0,,unified=-2.077 held=182s
1775194513.364,242.4,rank_snapshot,0.007564,BUILD,1.8559,0.06847,0.0,0.0,0.0,,unified=-1.856 held=242s
1775194575.162,304.2,rank_snapshot,0.00757,DECAY,1.5039,0.13935,0.0,0.0,0.0,,unified=-1.504 held=303s
1775194575.162,304.2,lifecycle_change,0.00757,DECAY,1.5039,0.13935,-0.00558,0.0,0.0,,BUILD->DECAY
1775194636.88,366.0,rank_snapshot,0.007549,DECAY,1.8759,0.01152,0.0,0.0,0.0,,unified=-1.876 held=366s
1775194695.613,424.7,rank_snapshot,0.00754,REVERSAL,1.5172,0.09831,0.0,0.0,0.0,,unified=-1.517 held=425s
1775194695.613,424.7,lifecycle_change,0.00754,REVERSAL,1.5172,0.09831,-0.00159,0.0,0.0,,DECAY->REVERSAL
1775194695.867,424.9,exit,0.00754,REVERSAL,1.5172,0.09831,-0.00159,0.0,0.00199,lifecycle_reversal,
