ts,secs_from_entry,event_type,price,lc_state,aligned_score,velocity,cur_ret,peak_pnl,drawdown,exit_reason,extra
1775195323.491,0.0,entry,0.007582,,0.0,0.0,0.0,0.0,0.0,,score=-1.152 vol=0.2000%
1775195361.392,37.9,rank_snapshot,0.007585,EXPANSION,2.0498,-0.22446,0.0,0.0,0.0,,unified=-2.050 held=38s
1775195361.392,37.9,lifecycle_change,0.007585,EXPANSION,2.0498,-0.22446,-0.0004,0.0,0.0,,BUILD->EXPANSION
1775195422.026,98.5,rank_snapshot,0.007594,EXPANSION,1.2063,0.04252,0.0,0.0,0.0,,unified=-1.206 held=99s
1775195483.235,159.7,rank_snapshot,0.007607,DECAY,0.2111,0.28069,0.0,0.0,0.0,,unified=-0.211 held=159s
1775195483.236,159.7,lifecycle_change,0.007607,DECAY,0.2111,0.28069,-0.0033,0.0,0.0,,EXPANSION->DECAY
1775195543.448,220.0,rank_snapshot,0.007606,DECAY,2.3561,-0.32571,0.0,0.0,0.0,,unified=-2.356 held=219s
1775195603.698,280.2,rank_snapshot,0.007634,DECAY,0.6883,0.17265,0.0,0.0,0.0,,unified=-0.688 held=280s
1775195663.884,340.4,rank_snapshot,0.007624,DECAY,1.3403,-0.0335,0.0,0.0,0.0,,unified=-1.340 held=340s
1775195725.066,401.6,rank_snapshot,0.007632,DECAY,0.7184,0.13034,0.0,0.0,0.0,,unified=-0.718 held=401s
1775195785.243,461.8,rank_snapshot,0.007639,REVERSAL,0.5671,0.1356,0.0,0.0,0.0,,unified=-0.567 held=461s
1775195785.244,461.8,lifecycle_change,0.007639,REVERSAL,0.5671,0.1356,-0.00752,0.0,0.0,,DECAY->REVERSAL
1775195785.533,462.0,exit,0.007639,REVERSAL,0.5671,0.1356,-0.00752,0.0,0.00925,lifecycle_reversal,
