ts,secs_from_entry,event_type,price,lc_state,aligned_score,velocity,cur_ret,peak_pnl,drawdown,exit_reason,extra
1775196387.468,0.0,entry,0.007568,,0.0,0.0,0.0,0.0,0.0,,score=-0.993 vol=0.2000%
1775196391.755,4.3,rank_snapshot,0.007568,EXPANSION,2.0381,-0.26126,0.0,0.0,0.0,,unified=-2.038 held=4s
1775196391.755,4.3,lifecycle_change,0.007568,EXPANSION,2.0381,-0.26126,0.0,0.0,0.0,,BUILD->EXPANSION
1775196453.438,66.0,rank_snapshot,0.0076,EXPANSION,1.4142,-0.03997,0.0,0.0,0.0,,unified=-1.414 held=66s
1775196513.589,126.1,rank_snapshot,0.007577,EXPANSION,2.0904,-0.19902,0.0,0.0,0.0,,unified=-2.090 held=126s
1775196573.338,185.9,rank_snapshot,0.00757,EXPANSION,0.9782,0.12878,0.0,0.0,0.0,,unified=-0.978 held=186s
1775196634.415,246.9,rank_snapshot,0.007594,DECAY,1.0968,0.06694,0.0,0.0,0.0,,unified=-1.097 held=246s
1775196634.415,246.9,lifecycle_change,0.007594,DECAY,1.0968,0.06694,-0.00344,0.0,0.0,,EXPANSION->DECAY
1775196694.117,306.6,rank_snapshot,0.007582,DECAY,1.4412,-0.03591,0.0,0.0,0.0,,unified=-1.441 held=307s
1775196755.765,368.3,rank_snapshot,0.007582,EXPANSION,2.4454,-0.27797,0.0,0.0,0.0,,unified=-2.445 held=368s
1775196755.765,368.3,lifecycle_change,0.007582,EXPANSION,2.4454,-0.27797,-0.00185,0.0,0.0,,DECAY->EXPANSION
1775196816.609,429.1,rank_snapshot,0.007592,EXPANSION,1.2595,0.088,0.0,0.0,0.0,,unified=-1.259 held=429s
1775196876.866,489.4,rank_snapshot,0.007583,EXPANSION,1.5645,-0.01027,0.0,0.0,0.0,,unified=-1.565 held=489s
1775196949.149,561.7,rank_snapshot,0.007566,EXPANSION,2.12,-0.14656,0.0,0.0,0.0,,unified=-2.120 held=562s
1775196996.763,609.3,rank_snapshot,0.00758,EXPANSION,0.7726,0.22691,0.0,0.0,0.0,,unified=-0.773 held=609s
1775197057.447,670.0,rank_snapshot,0.007579,EXPANSION,1.6013,-0.03698,0.0,0.0,0.0,,unified=-1.601 held=670s
1775197118.184,730.7,rank_snapshot,0.007577,EXPANSION,1.3501,0.03507,0.0,0.0,0.0,,unified=-1.350 held=731s
1775197179.543,792.1,rank_snapshot,0.007564,DECAY,1.2018,0.06337,0.0,0.0,0.0,,unified=-1.202 held=792s
1775197179.547,792.1,lifecycle_change,0.007564,DECAY,1.2018,0.06337,0.00053,0.0,0.0,,EXPANSION->DECAY
1775197205.905,818.4,rank_snapshot,0.007645,DECAY,1.2018,0.06337,0.0,0.0,0.0,,"{'confidence': 1.0, 'sl_dist': 0.01, 'exit_trigger': 'dynamic_vol_stop'}"
1775197206.132,818.7,exit,0.007645,DECAY,1.2018,0.06337,-0.01017,0.0,0.01285,dynamic_vol_stop,
