ts,secs_from_entry,event_type,price,lc_state,aligned_score,velocity,cur_ret,peak_pnl,drawdown,exit_reason,extra
1775204469.408,0.0,entry,0.1673,,0.0,0.0,0.0,0.0,0.0,,score=+1.626 vol=0.2000%
1775204520.155,50.7,rank_snapshot,0.1673,BUILD,-0.192,-0.35846,0.0,0.0,0.0,,unified=+0.192 held=51s
1775204581.829,112.4,rank_snapshot,0.1674,REVERSAL,-1.0938,-0.04341,0.0,0.0,0.0,,unified=+1.094 held=112s
1775204581.829,112.4,lifecycle_change,0.1674,REVERSAL,-1.0938,-0.04341,-0.0006,0.0,0.0,,BUILD->REVERSAL
1775204642.142,172.7,rank_snapshot,0.1673,BUILD,0.7546,-0.49464,0.0,0.0,0.0,,unified=-0.755 held=173s
1775204642.142,172.7,lifecycle_change,0.1673,BUILD,0.7546,-0.49464,0.0,0.0,0.0,,REVERSAL->BUILD
1775204702.555,233.1,rank_snapshot,0.1672,BUILD,0.2353,-0.24116,0.0,0.0,0.0,,unified=-0.235 held=232s
1775204763.856,294.4,rank_snapshot,0.1679,REVERSAL,-1.0055,0.12932,0.0,0.0,0.0,,unified=+1.005 held=293s
1775204763.856,294.4,lifecycle_change,0.1679,REVERSAL,-1.0055,0.12932,-0.00359,0.0,0.0,,BUILD->REVERSAL
1775204764.343,294.9,exit,0.1679,REVERSAL,-1.0055,0.12932,-0.00359,0.0,0.00539,lifecycle_reversal,
