ts,secs_from_entry,event_type,price,lc_state,aligned_score,velocity,cur_ret,peak_pnl,drawdown,exit_reason,extra
1775204770.691,0.0,entry,0.1678,,0.0,0.0,0.0,0.0,0.0,,score=+1.005 vol=0.2000%
1775204823.485,52.8,rank_snapshot,0.1678,BUILD,0.3585,-0.341,0.0,0.0,0.0,,unified=-0.359 held=52s
1775204884.123,113.4,rank_snapshot,0.1674,EXPANSION,0.9519,-0.40411,0.0,0.0,0.0,,unified=-0.952 held=112s
1775204884.123,113.4,lifecycle_change,0.1674,EXPANSION,0.9519,-0.40411,0.00238,0.0,0.0,,BUILD->EXPANSION
1775204945.814,175.1,rank_snapshot,0.1674,EXPANSION,0.4487,-0.17728,0.0,0.0,0.0,,unified=-0.449 held=173s
1775205004.427,233.7,rank_snapshot,0.1673,EXPANSION,-0.2457,0.04066,0.0,0.0,0.0,,unified=+0.246 held=233s
1775205016.382,245.7,trailing_armed,0.1671,EXPANSION,0.0,0.0,0.00417,0.0,0.0,,
1775205064.457,293.8,rank_snapshot,0.1673,DECAY,-0.2041,0.02009,0.0,0.0,0.0,,unified=+0.204 held=293s
1775205064.457,293.8,lifecycle_change,0.1673,DECAY,-0.2041,0.02009,0.00298,0.0,0.0,,EXPANSION->DECAY
1775205124.58,353.9,rank_snapshot,0.1677,DECAY,0.0289,-0.04319,0.0,0.0,0.0,,unified=-0.029 held=353s
1775205184.261,413.6,rank_snapshot,0.1677,DECAY,0.3125,-0.10329,0.0,0.0,0.0,,unified=-0.313 held=414s
1775205245.767,475.1,rank_snapshot,0.1676,EXPANSION,1.2747,-0.31802,0.0,0.0,0.0,,unified=-1.275 held=474s
1775205245.767,475.1,lifecycle_change,0.1676,EXPANSION,1.2747,-0.31802,0.00119,0.0,0.0,,DECAY->EXPANSION
1775205304.975,534.3,rank_snapshot,0.1685,REVERSAL,-1.559,0.4699,0.0,0.0,0.0,,unified=+1.559 held=534s
1775205304.976,534.3,lifecycle_change,0.1685,REVERSAL,-1.559,0.4699,-0.00417,0.0,0.0,,EXPANSION->REVERSAL
1775205305.433,534.7,exit,0.1685,REVERSAL,-1.559,0.4699,-0.00417,0.0,0.00838,lifecycle_reversal,
