ts,secs_from_entry,event_type,price,lc_state,aligned_score,velocity,cur_ret,peak_pnl,drawdown,exit_reason,extra
1775194882.992,0.0,entry,0.0145,,0.0,0.0,0.0,0.0,0.0,,score=-1.001 vol=0.2000%
1775194937.544,54.6,rank_snapshot,0.01452,EXPANSION,0.8327,0.4584,0.0,0.0,0.0,,unified=+0.833 held=55s
1775194937.544,54.6,lifecycle_change,0.01452,EXPANSION,0.8327,0.4584,0.00138,0.0,0.0,,BUILD->EXPANSION
1775194997.689,114.7,rank_snapshot,0.01452,EXPANSION,1.0602,0.40066,0.0,0.0,0.0,,unified=+1.060 held=115s
1775195058.395,175.4,rank_snapshot,0.01452,EXPANSION,0.8641,0.25147,0.0,0.0,0.0,,unified=+0.864 held=175s
1775195118.62,235.6,rank_snapshot,0.01452,EXPANSION,1.7067,0.39926,0.0,0.0,0.0,,unified=+1.707 held=236s
1775195179.382,296.4,rank_snapshot,0.01452,EXPANSION,1.6751,0.29154,0.0,0.0,0.0,,unified=+1.675 held=296s
1775195240.057,357.1,rank_snapshot,0.01452,EXPANSION,1.9413,0.28522,0.0,0.0,0.0,,unified=+1.941 held=357s
1775195300.719,417.7,rank_snapshot,0.01452,EXPANSION,0.7837,-0.07548,0.0,0.0,0.0,,unified=+0.784 held=418s
1775195361.391,478.4,rank_snapshot,0.01452,DECAY,0.7021,-0.07703,0.0,0.0,0.0,,unified=+0.702 held=478s
1775195361.391,478.4,lifecycle_change,0.01452,DECAY,0.7021,-0.07703,0.00138,0.0,0.0,,EXPANSION->DECAY
1775195422.026,539.0,rank_snapshot,0.01452,DECAY,0.5262,-0.10174,0.0,0.0,0.0,,unified=+0.526 held=539s
1775195482.772,599.8,rank_snapshot,0.01452,REVERSAL,0.6956,-0.03395,0.0,0.0,0.0,,unified=+0.696 held=600s
1775195482.772,599.8,lifecycle_change,0.01452,REVERSAL,0.6956,-0.03395,0.00138,0.0,0.0,,DECAY->REVERSAL
1775195483.234,600.2,exit,0.01452,REVERSAL,0.6956,-0.03395,0.00138,0.0,0.00206,lifecycle_reversal,
