ts,secs_from_entry,event_type,price,lc_state,aligned_score,velocity,cur_ret,peak_pnl,drawdown,exit_reason,extra
1775193130.137,0.0,entry,0.08341,,0.0,0.0,0.0,0.0,0.0,,score=+1.649 vol=0.2000%
1775193182.785,52.6,rank_snapshot,0.0834,REVERSAL,-1.1248,-0.69357,0.0,0.0,0.0,,unified=-1.125 held=53s
1775193182.785,52.6,lifecycle_change,0.0834,REVERSAL,-1.1248,-0.69357,-0.00012,0.0,0.0,,BUILD->REVERSAL
1775193243.442,113.3,rank_snapshot,0.0835,BUILD,1.3997,0.11094,0.0,0.0,0.0,,unified=+1.400 held=113s
1775193243.442,113.3,lifecycle_change,0.0835,BUILD,1.3997,0.11094,0.00108,0.0,0.0,,REVERSAL->BUILD
1775193304.032,173.9,rank_snapshot,0.08349,BUILD,0.176,-0.2227,0.0,0.0,0.0,,unified=+0.176 held=173s
1775193363.696,233.6,rank_snapshot,0.0834,BUILD,0.0163,-0.20697,0.0,0.0,0.0,,unified=+0.016 held=234s
1775193423.826,293.7,rank_snapshot,0.0835,EXPANSION,0.9256,0.07212,0.0,0.0,0.0,,unified=+0.926 held=294s
1775193423.827,293.7,lifecycle_change,0.0835,EXPANSION,0.9256,0.07212,0.00108,0.0,0.0,,BUILD->EXPANSION
1775193484.489,354.4,rank_snapshot,0.08348,EXPANSION,1.3784,0.16728,0.0,0.0,0.0,,unified=+1.378 held=354s
1775193528.521,398.4,trailing_armed,0.08375,EXPANSION,0.0,0.0,0.00408,0.0,0.0,,
1775193537.025,406.9,trailing_hit,0.08389,EXPANSION,0.0,0.0,0.00575,0.0,0.00131,,thresh=0.1000%
1775193537.512,407.4,exit,0.08389,EXPANSION,1.3784,0.16728,0.00575,0.0,0.00131,trailing_expansion,
