ts,secs_from_entry,event_type,price,lc_state,aligned_score,velocity,cur_ret,peak_pnl,drawdown,exit_reason,extra
1775194507.805,0.0,entry,0.0615,,0.0,0.0,0.0,0.0,0.0,,score=+1.492 vol=0.2000%
1775194513.364,5.6,rank_snapshot,0.0615,BUILD,0.8053,-0.17162,0.0,0.0,0.0,,unified=+0.805 held=6s
1775194574.644,66.8,rank_snapshot,0.0616,BUILD,1.0824,-0.05944,0.0,0.0,0.0,,unified=+1.082 held=66s
1775194636.864,129.1,rank_snapshot,0.0616,BUILD,0.4761,-0.19615,0.0,0.0,0.0,,unified=+0.476 held=129s
1775194695.611,187.8,rank_snapshot,0.0616,BUILD,0.8323,-0.05808,0.0,0.0,0.0,,unified=+0.832 held=188s
1775194733.479,225.7,trailing_armed,0.0618,BUILD,0.0,0.0,0.00488,0.0,0.0,,
1775194756.526,248.7,rank_snapshot,0.0616,EXPANSION,1.1066,0.02502,0.0,0.0,0.0,,unified=+1.107 held=249s
1775194756.526,248.7,lifecycle_change,0.0616,EXPANSION,1.1066,0.02502,0.00163,0.0,0.0,,BUILD->EXPANSION
1775194816.616,308.8,rank_snapshot,0.0616,REVERSAL,-0.6583,-0.42246,0.0,0.0,0.0,,unified=-0.658 held=309s
1775194816.616,308.8,lifecycle_change,0.0616,REVERSAL,-0.6583,-0.42246,0.00163,0.0,0.0,,EXPANSION->REVERSAL
1775194817.081,309.3,exit,0.0616,REVERSAL,-0.6583,-0.42246,0.00163,0.0,0.00324,lifecycle_reversal,
