ts,secs_from_entry,event_type,price,lc_state,aligned_score,velocity,cur_ret,peak_pnl,drawdown,exit_reason,extra
1775194758.433,0.0,entry,0.5123,,0.0,0.0,0.0,0.0,0.0,,score=+2.362 vol=0.2000%
1775194817.082,58.6,rank_snapshot,0.5124,BUILD,1.1768,-0.29622,0.0,0.0,0.0,,unified=+1.177 held=58s
1775194877.386,119.0,rank_snapshot,0.5123,BUILD,0.5135,-0.388,0.0,0.0,0.0,,unified=+0.513 held=118s
1775194937.543,179.1,rank_snapshot,0.5125,BUILD,0.3049,-0.34315,0.0,0.0,0.0,,unified=+0.305 held=179s
1775194997.689,239.3,rank_snapshot,0.5126,BUILD,1.2594,-0.01874,0.0,0.0,0.0,,unified=+1.259 held=239s
1775195058.395,300.0,rank_snapshot,0.5126,BUILD,1.1312,-0.04611,0.0,0.0,0.0,,unified=+1.131 held=300s
1775195118.619,360.2,rank_snapshot,0.5126,DECAY,0.7757,-0.12345,0.0,0.0,0.0,,unified=+0.776 held=360s
1775195118.619,360.2,lifecycle_change,0.5126,DECAY,0.7757,-0.12345,0.00059,0.0,0.0,,BUILD->DECAY
1775195179.382,420.9,rank_snapshot,0.5126,DECAY,1.2008,0.0137,0.0,0.0,0.0,,unified=+1.201 held=421s
1775195240.057,481.6,rank_snapshot,0.5126,EXPANSION,1.3023,0.03564,0.0,0.0,0.0,,unified=+1.302 held=482s
1775195240.057,481.6,lifecycle_change,0.5126,EXPANSION,1.3023,0.03564,0.00059,0.0,0.0,,DECAY->EXPANSION
1775195300.719,542.3,rank_snapshot,0.5126,EXPANSION,1.0526,-0.03569,0.0,0.0,0.0,,unified=+1.053 held=542s
1775195361.391,603.0,rank_snapshot,0.5126,EXPANSION,1.4974,0.08443,0.0,0.0,0.0,,unified=+1.497 held=603s
1775195422.026,663.6,rank_snapshot,0.5126,EXPANSION,1.1885,-0.01389,0.0,0.0,0.0,,unified=+1.189 held=664s
1775195482.771,724.3,rank_snapshot,0.5126,DECAY,1.2046,-0.00641,0.0,0.0,0.0,,unified=+1.205 held=724s
1775195482.771,724.3,lifecycle_change,0.5126,DECAY,1.2046,-0.00641,0.00059,0.0,0.0,,EXPANSION->DECAY
1775195542.985,784.6,rank_snapshot,0.5126,DECAY,1.4257,0.05046,0.0,0.0,0.0,,unified=+1.426 held=785s
1775195603.165,844.7,rank_snapshot,0.5126,DECAY,1.0788,-0.04887,0.0,0.0,0.0,,unified=+1.079 held=845s
1775195663.884,905.5,rank_snapshot,0.5126,DECAY,1.3483,0.03073,0.0,0.0,0.0,,unified=+1.348 held=905s
1775195724.571,966.1,rank_snapshot,0.5126,EXPANSION,1.7204,0.11608,0.0,0.0,0.0,,unified=+1.720 held=966s
1775195724.571,966.1,lifecycle_change,0.5126,EXPANSION,1.7204,0.11608,0.00059,0.0,0.0,,DECAY->EXPANSION
1775195784.77,1026.3,rank_snapshot,0.5126,EXPANSION,1.4413,0.01727,0.0,0.0,0.0,,unified=+1.441 held=1026s
1775195845.5,1087.1,rank_snapshot,0.5126,EXPANSION,1.1195,-0.0675,0.0,0.0,0.0,,unified=+1.119 held=1087s
1775195906.203,1147.8,rank_snapshot,0.5126,DECAY,0.9974,-0.08115,0.0,0.0,0.0,,unified=+0.997 held=1148s
1775195906.204,1147.8,lifecycle_change,0.5126,DECAY,0.9974,-0.08115,0.00059,0.0,0.0,,EXPANSION->DECAY
1775195966.951,1208.5,rank_snapshot,0.5126,DECAY,1.2083,-0.00812,0.0,0.0,0.0,,unified=+1.208 held=1209s
1775196027.111,1268.7,rank_snapshot,0.5126,REVERSAL,1.1978,-0.00872,0.0,0.0,0.0,,unified=+1.198 held=1269s
1775196027.111,1268.7,lifecycle_change,0.5126,REVERSAL,1.1978,-0.00872,0.00059,0.0,0.0,,DECAY->REVERSAL
1775196027.884,1269.5,exit,0.5126,REVERSAL,1.1978,-0.00872,0.00059,0.0,0.00311,lifecycle_reversal,
