ts,secs_from_entry,event_type,price,lc_state,aligned_score,velocity,cur_ret,peak_pnl,drawdown,exit_reason,extra
1775205066.296,0.0,entry,0.1642,,0.0,0.0,0.0,0.0,0.0,,score=-1.047 vol=0.2000%
1775205124.579,58.3,rank_snapshot,0.1645,BUILD,0.3584,0.35125,0.0,0.0,0.0,,unified=+0.358 held=58s
1775205184.261,118.0,rank_snapshot,0.1642,BUILD,0.2675,0.24071,0.0,0.0,0.0,,unified=+0.267 held=118s
1775205245.0,178.7,rank_snapshot,0.164,BUILD,0.1266,0.14532,0.0,0.0,0.0,,unified=+0.127 held=178s
1775205304.453,238.2,rank_snapshot,0.1639,EXPANSION,0.6071,0.2291,0.0,0.0,0.0,,unified=+0.607 held=238s
1775205304.454,238.2,lifecycle_change,0.1639,EXPANSION,0.6071,0.2291,-0.00183,0.0,0.0,,BUILD->EXPANSION
1775205365.05,298.8,rank_snapshot,0.164,EXPANSION,1.0065,0.27167,0.0,0.0,0.0,,unified=+1.006 held=299s
1775205425.159,358.9,rank_snapshot,0.1642,REVERSAL,-0.4937,-0.17129,0.0,0.0,0.0,,unified=-0.494 held=359s
1775205425.159,358.9,lifecycle_change,0.1642,REVERSAL,-0.4937,-0.17129,0.0,0.0,0.0,,EXPANSION->REVERSAL
1775205425.627,359.3,exit,0.1642,REVERSAL,-0.4937,-0.17129,0.0,0.0,0.00182,lifecycle_reversal,
