ts,secs_from_entry,event_type,price,lc_state,aligned_score,velocity,cur_ret,peak_pnl,drawdown,exit_reason,extra
1775193912.317,0.0,entry,0.02595,,0.0,0.0,0.0,0.0,0.0,,score=+1.481 vol=0.2000%
1775193969.185,56.9,rank_snapshot,0.02594,BUILD,1.0964,-0.09609,0.0,0.0,0.0,,unified=+1.096 held=57s
1775194029.292,117.0,rank_snapshot,0.02592,EXPANSION,1.4018,0.00427,0.0,0.0,0.0,,unified=+1.402 held=117s
1775194029.294,117.0,lifecycle_change,0.02592,EXPANSION,1.4018,0.00427,-0.00116,0.0,0.0,,BUILD->EXPANSION
1775194090.457,178.1,rank_snapshot,0.02592,EXPANSION,0.4926,-0.2241,0.0,0.0,0.0,,unified=+0.493 held=178s
1775194140.254,227.9,trailing_armed,0.02606,EXPANSION,0.0,0.0,0.00424,0.0,0.0,,
1775194150.121,237.8,rank_snapshot,0.02605,DECAY,0.1816,-0.24582,0.0,0.0,0.0,,unified=+0.182 held=238s
1775194150.121,237.8,lifecycle_change,0.02605,DECAY,0.1816,-0.24582,0.00385,0.0,0.0,,EXPANSION->DECAY
1775194210.368,298.1,rank_snapshot,0.02605,DECAY,-0.1165,-0.2589,0.0,0.0,0.0,,unified=-0.117 held=298s
1775194251.451,339.1,trailing_hit,0.02607,DECAY,0.0,0.0,0.00462,0.0,0.00077,,thresh=0.0500%
1775194251.95,339.6,exit,0.02607,DECAY,-0.1165,-0.2589,0.00462,0.0,0.00077,trailing_decay,
