ts,secs_from_entry,event_type,price,lc_state,aligned_score,velocity,cur_ret,peak_pnl,drawdown,exit_reason,extra
1775185031.269,0.0,entry,0.06172,,0.0,0.0,0.0,0.0,0.0,,score=-0.845 vol=0.2000%
1775185075.824,44.6,rank_snapshot,0.06165,EXPANSION,1.4352,-0.1476,0.0,0.0,0.0,,unified=-1.435 held=45s
1775185075.825,44.6,lifecycle_change,0.06165,EXPANSION,1.4352,-0.1476,0.00113,0.0,0.0,,BUILD->EXPANSION
1775185137.184,105.9,rank_snapshot,0.0616,EXPANSION,0.7849,0.05187,0.0,0.0,0.0,,unified=-0.785 held=106s
1775185196.848,165.6,rank_snapshot,0.06164,DECAY,0.426,0.12861,0.0,0.0,0.0,,unified=-0.426 held=166s
1775185196.849,165.6,lifecycle_change,0.06164,DECAY,0.426,0.12861,0.0013,0.0,0.0,,EXPANSION->DECAY
1775185257.641,226.4,rank_snapshot,0.06163,DECAY,0.4763,0.08389,0.0,0.0,0.0,,unified=-0.476 held=226s
1775185318.38,287.1,rank_snapshot,0.06164,REVERSAL,0.2131,0.12872,0.0,0.0,0.0,,unified=-0.213 held=287s
1775185318.381,287.1,lifecycle_change,0.06164,REVERSAL,0.2131,0.12872,0.0013,0.0,0.0,,DECAY->REVERSAL
1775185318.834,287.6,exit,0.06164,REVERSAL,0.2131,0.12872,0.0013,0.0,0.00162,lifecycle_reversal,
