ts,secs_from_entry,event_type,price,lc_state,aligned_score,velocity,cur_ret,peak_pnl,drawdown,exit_reason,extra
1775204999.317,0.0,entry,0.09147,,0.0,0.0,0.0,0.0,0.0,,score=-2.662 vol=0.2000%
1775205004.427,5.1,rank_snapshot,0.09178,REVERSAL,-0.4948,0.78933,0.0,0.0,0.0,,unified=+0.495 held=5s
1775205004.427,5.1,lifecycle_change,0.09178,REVERSAL,-0.4948,0.78933,-0.00339,0.0,0.0,,BUILD->REVERSAL
1775205064.457,65.1,rank_snapshot,0.09165,BUILD,2.5717,-0.17463,0.0,0.0,0.0,,unified=-2.572 held=65s
1775205064.457,65.1,lifecycle_change,0.09165,BUILD,2.5717,-0.17463,-0.00197,0.0,0.0,,REVERSAL->BUILD
1775205078.886,79.6,trailing_armed,0.0911,BUILD,0.0,0.0,0.00405,0.0,0.0,,
1775205124.581,125.3,rank_snapshot,0.09107,EXPANSION,2.6982,-0.16261,0.0,0.0,0.0,,unified=-2.698 held=125s
1775205124.581,125.3,lifecycle_change,0.09107,EXPANSION,2.6982,-0.16261,0.00437,0.0,0.0,,BUILD->EXPANSION
1775205124.715,125.4,trailing_hit,0.09105,EXPANSION,0.0,0.0,0.00459,0.0,0.00463,,thresh=0.1000%
1775205126.031,126.7,exit,0.09105,EXPANSION,2.6982,-0.16261,0.00459,0.0,0.00463,trailing_expansion,
