ts,secs_from_entry,event_type,price,lc_state,aligned_score,velocity,cur_ret,peak_pnl,drawdown,exit_reason,extra
1775205128.06,0.0,entry,0.09113,,0.0,0.0,0.0,0.0,0.0,,score=-2.698 vol=0.2000%
1775205164.039,36.0,trailing_armed,0.09076,BUILD,0.0,0.0,0.00406,0.0,0.0,,
1775205184.738,56.7,rank_snapshot,0.09083,BUILD,1.9028,0.19884,0.0,0.0,0.0,,unified=-1.903 held=56s
1775205245.77,117.7,rank_snapshot,0.09064,BUILD,1.7277,0.19292,0.0,0.0,0.0,,unified=-1.728 held=116s
1775205305.434,177.4,rank_snapshot,0.09052,BUILD,1.1774,0.28227,0.0,0.0,0.0,,unified=-1.177 held=176s
1775205365.531,237.5,rank_snapshot,0.09086,BUILD,0.2141,0.45253,0.0,0.0,0.0,,unified=-0.214 held=237s
1775205425.637,297.6,rank_snapshot,0.09048,EXPANSION,1.6139,-0.01058,0.0,0.0,0.0,,unified=-1.614 held=297s
1775205425.637,297.6,lifecycle_change,0.09048,EXPANSION,1.6139,-0.01058,0.00713,0.0,0.0,,BUILD->EXPANSION
1775205426.411,298.4,trailing_hit,0.09044,EXPANSION,0.0,0.0,0.00757,0.0,0.00233,,thresh=0.1000%
1775205426.894,298.8,exit,0.09044,EXPANSION,1.6139,-0.01058,0.00757,0.0,0.00233,trailing_expansion,
