ts,secs_from_entry,event_type,price,lc_state,aligned_score,velocity,cur_ret,peak_pnl,drawdown,exit_reason,extra
1775194298.511,0.0,entry,2.351,,0.0,0.0,0.0,0.0,0.0,,score=+0.849 vol=0.2000%
1775194331.802,33.3,rank_snapshot,2.354,EXPANSION,1.5157,0.16663,0.0,0.0,0.0,,unified=+1.516 held=33s
1775194331.802,33.3,lifecycle_change,2.354,EXPANSION,1.5157,0.16663,0.00128,0.0,0.0,,BUILD->EXPANSION
1775194392.985,94.5,rank_snapshot,2.354,EXPANSION,0.351,-0.16619,0.0,0.0,0.0,,unified=+0.351 held=94s
1775194452.625,154.1,rank_snapshot,2.355,DECAY,0.1958,-0.16346,0.0,0.0,0.0,,unified=+0.196 held=154s
1775194452.625,154.1,lifecycle_change,2.355,DECAY,0.1958,-0.16346,0.0017,0.0,0.0,,EXPANSION->DECAY
1775194513.363,214.9,rank_snapshot,2.359,DECAY,0.135,-0.1378,0.0,0.0,0.0,,unified=+0.135 held=215s
1775194574.126,275.6,rank_snapshot,2.359,REVERSAL,0.2165,-0.08295,0.0,0.0,0.0,,unified=+0.217 held=276s
1775194574.126,275.6,lifecycle_change,2.359,REVERSAL,0.2165,-0.08295,0.0034,0.0,0.0,,DECAY->REVERSAL
1775194574.644,276.1,exit,2.359,REVERSAL,0.2165,-0.08295,0.0034,0.0,0.00042,lifecycle_reversal,
