ts,secs_from_entry,event_type,price,lc_state,aligned_score,velocity,cur_ret,peak_pnl,drawdown,exit_reason,extra
1775194091.135,0.0,entry,0.06148,,0.0,0.0,0.0,0.0,0.0,,score=+0.862 vol=0.2000%
1775194150.123,59.0,rank_snapshot,0.06157,BUILD,0.1484,-0.17847,0.0,0.0,0.0,,unified=+0.148 held=59s
1775194167.247,76.1,trailing_armed,0.06173,BUILD,0.0,0.0,0.00407,0.0,0.0,,
1775194210.368,119.2,rank_snapshot,0.06144,REVERSAL,-1.2324,-0.47903,0.0,0.0,0.0,,unified=-1.232 held=119s
1775194210.369,119.2,lifecycle_change,0.06144,REVERSAL,-1.2324,-0.47903,-0.00065,0.0,0.0,,BUILD->REVERSAL
1775194271.106,180.0,rank_snapshot,0.06152,BUILD,1.1644,0.23991,0.0,0.0,0.0,,unified=+1.164 held=180s
1775194271.106,180.0,lifecycle_change,0.06152,BUILD,1.1644,0.23991,0.00065,0.0,0.0,,REVERSAL->BUILD
1775194331.797,240.7,rank_snapshot,0.06176,EXPANSION,0.9491,0.12612,0.0,0.0,0.0,,unified=+0.949 held=241s
1775194331.798,240.7,lifecycle_change,0.06176,EXPANSION,0.9491,0.12612,0.00455,0.0,0.0,,BUILD->EXPANSION
1775194352.565,261.4,trailing_hit,0.06173,EXPANSION,0.0,0.0,0.00407,0.0,0.00113,,thresh=0.1000%
1775194353.077,261.9,exit,0.06173,EXPANSION,0.9491,0.12612,0.00407,0.0,0.00113,trailing_expansion,
