ts,secs_from_entry,event_type,price,lc_state,aligned_score,velocity,cur_ret,peak_pnl,drawdown,exit_reason,extra
1775195280.927,0.0,entry,0.03401,,0.0,0.0,0.0,0.0,0.0,,score=+2.102 vol=0.2000%
1775195300.72,19.8,rank_snapshot,0.034,BUILD,-0.0158,-0.52951,0.0,0.0,0.0,,unified=-0.016 held=20s
1775195351.456,70.5,trailing_armed,0.03415,BUILD,0.0,0.0,0.00412,0.0,0.0,,
1775195361.392,80.5,rank_snapshot,0.03404,EXPANSION,1.7873,0.05366,0.0,0.0,0.0,,unified=+1.787 held=80s
1775195361.392,80.5,lifecycle_change,0.03404,EXPANSION,1.7873,0.05366,0.00088,0.0,0.0,,BUILD->EXPANSION
1775195422.026,141.1,rank_snapshot,0.03404,EXPANSION,2.2616,0.15882,0.0,0.0,0.0,,unified=+2.262 held=141s
1775195483.235,202.3,rank_snapshot,0.03404,EXPANSION,0.2486,-0.38413,0.0,0.0,0.0,,unified=+0.249 held=202s
1775195543.447,262.5,rank_snapshot,0.03403,DECAY,-0.2084,-0.40236,0.0,0.0,0.0,,unified=-0.208 held=262s
1775195543.447,262.5,lifecycle_change,0.03403,DECAY,-0.2084,-0.40236,0.00059,0.0,0.0,,EXPANSION->DECAY
1775195603.165,322.2,rank_snapshot,0.03392,REVERSAL,-1.0319,-0.50763,0.0,0.0,0.0,,unified=-1.032 held=322s
1775195603.166,322.2,lifecycle_change,0.03392,REVERSAL,-1.0319,-0.50763,-0.00265,0.0,0.0,,DECAY->REVERSAL
1775195603.697,322.8,exit,0.03392,REVERSAL,-1.0319,-0.50763,-0.00265,0.0,0.00673,lifecycle_reversal,
