ts,secs_from_entry,event_type,price,lc_state,aligned_score,velocity,cur_ret,peak_pnl,drawdown,exit_reason,extra
1775195485.234,0.0,entry,10.769,,0.0,0.0,0.0,0.0,0.0,,score=-1.166 vol=0.2000%
1775195543.448,58.2,rank_snapshot,10.792,BUILD,-0.2498,0.35391,0.0,0.0,0.0,,unified=+0.250 held=58s
1775195604.217,119.0,rank_snapshot,10.81,BUILD,0.7776,0.00857,0.0,0.0,0.0,,unified=-0.778 held=118s
1775195658.46,173.2,trailing_armed,10.725,BUILD,0.0,0.0,0.00409,0.0,0.0,,
1775195663.884,178.7,rank_snapshot,10.729,BUILD,0.7203,0.02076,0.0,0.0,0.0,,unified=-0.720 held=179s
1775195725.066,239.8,rank_snapshot,10.768,EXPANSION,1.6334,-0.2127,0.0,0.0,0.0,,unified=-1.633 held=239s
1775195725.066,239.8,lifecycle_change,10.768,EXPANSION,1.6334,-0.2127,9e-05,0.0,0.0,,BUILD->EXPANSION
1775195785.534,300.3,rank_snapshot,10.865,REVERSAL,-0.6987,0.42349,0.0,0.0,0.0,,unified=+0.699 held=300s
1775195785.534,300.3,lifecycle_change,10.865,REVERSAL,-0.6987,0.42349,-0.00891,0.0,0.0,,EXPANSION->REVERSAL
1775195785.837,300.6,exit,10.865,REVERSAL,-0.6987,0.42349,-0.00891,0.0,0.01362,lifecycle_reversal,
