ts,secs_from_entry,event_type,price,lc_state,aligned_score,velocity,cur_ret,peak_pnl,drawdown,exit_reason,extra
1775196760.167,0.0,entry,0.03377,,0.0,0.0,0.0,0.0,0.0,,score=+1.772 vol=0.2000%
1775196816.609,56.4,rank_snapshot,0.03374,BUILD,0.7966,-0.24385,0.0,0.0,0.0,,unified=+0.797 held=56s
1775196876.866,116.7,rank_snapshot,0.03373,BUILD,-0.1924,-0.43013,0.0,0.0,0.0,,unified=-0.192 held=117s
1775196949.149,189.0,rank_snapshot,0.03375,BUILD,0.2424,-0.2139,0.0,0.0,0.0,,unified=+0.242 held=189s
1775196996.763,236.6,rank_snapshot,0.03373,BUILD,0.3553,-0.13222,0.0,0.0,0.0,,unified=+0.355 held=237s
1775197057.447,297.3,rank_snapshot,0.03371,BUILD,-0.0664,-0.20457,0.0,0.0,0.0,,unified=-0.066 held=297s
1775197118.182,358.0,rank_snapshot,0.0337,DECAY,0.1372,-0.10254,0.0,0.0,0.0,,unified=+0.137 held=358s
1775197118.182,358.0,lifecycle_change,0.0337,DECAY,0.1372,-0.10254,-0.00207,0.0,0.0,,BUILD->DECAY
1775197179.543,419.4,rank_snapshot,0.0337,DECAY,0.1428,-0.07549,0.0,0.0,0.0,,unified=+0.143 held=419s
1775197239.2,479.0,rank_snapshot,0.03374,DECAY,0.492,0.03069,0.0,0.0,0.0,,unified=+0.492 held=479s
1775197301.23,541.1,rank_snapshot,0.03366,DECAY,-0.3315,-0.18286,0.0,0.0,0.0,,unified=-0.331 held=541s
1775197359.885,599.7,rank_snapshot,0.03369,DECAY,1.0941,0.21925,0.0,0.0,0.0,,unified=+1.094 held=600s
1775197398.033,637.9,trailing_armed,0.03391,DECAY,0.0,0.0,0.00415,0.0,0.0,,
1775197398.155,638.0,trailing_hit,0.03391,DECAY,0.0,0.0,0.00415,0.0,0.00059,,thresh=0.0500%
1775197398.58,638.4,exit,0.03391,DECAY,1.0941,0.21925,0.00415,0.0,0.00059,trailing_decay,
