ts,secs_from_entry,event_type,price,lc_state,aligned_score,velocity,cur_ret,peak_pnl,drawdown,exit_reason,extra
1775197404.459,0.0,entry,0.03394,,0.0,0.0,0.0,0.0,0.0,,score=+1.094 vol=0.2000%
1775197420.591,16.1,rank_snapshot,0.03392,EXPANSION,1.7654,0.16783,0.0,0.0,0.0,,unified=+1.765 held=16s
1775197420.592,16.1,lifecycle_change,0.03392,EXPANSION,1.7654,0.16783,-0.00059,0.0,0.0,,BUILD->EXPANSION
1775197481.252,76.8,rank_snapshot,0.03396,EXPANSION,0.9003,-0.09041,0.0,0.0,0.0,,unified=+0.900 held=77s
1775197542.176,137.7,rank_snapshot,0.03407,EXPANSION,1.1855,0.00349,0.0,0.0,0.0,,unified=+1.186 held=138s
1775197603.035,198.6,rank_snapshot,0.03405,EXPANSION,0.7841,-0.09773,0.0,0.0,0.0,,unified=+0.784 held=199s
1775197666.425,262.0,rank_snapshot,0.03403,DECAY,0.4942,-0.14578,0.0,0.0,0.0,,unified=+0.494 held=262s
1775197666.425,262.0,lifecycle_change,0.03403,DECAY,0.4942,-0.14578,0.00265,0.0,0.0,,EXPANSION->DECAY
1775197724.063,319.6,rank_snapshot,0.03405,DECAY,0.5064,-0.10629,0.0,0.0,0.0,,unified=+0.506 held=320s
1775197743.287,338.8,trailing_armed,0.03408,DECAY,0.0,0.0,0.00412,0.0,0.0,,
1775197755.677,351.2,trailing_hit,0.0341,DECAY,0.0,0.0,0.00471,0.0,0.00059,,thresh=0.0500%
1775197756.111,351.7,exit,0.0341,DECAY,0.5064,-0.10629,0.00471,0.0,0.00059,trailing_decay,
