ts,secs_from_entry,event_type,price,lc_state,aligned_score,velocity,cur_ret,peak_pnl,drawdown,exit_reason,extra
1775196275.648,0.0,entry,0.18884,,0.0,0.0,0.0,0.0,0.0,,score=-2.651 vol=0.2000%
1775196304.927,29.3,trailing_armed,0.18808,BUILD,0.0,0.0,0.00402,0.0,0.0,,
1775196330.913,55.3,rank_snapshot,0.18837,BUILD,2.403,0.06207,0.0,0.0,0.0,,unified=-2.403 held=55s
1775196391.755,116.1,rank_snapshot,0.18741,BUILD,2.5264,0.01569,0.0,0.0,0.0,,unified=-2.526 held=116s
1775196453.438,177.8,rank_snapshot,0.18812,BUILD,1.7589,0.20364,0.0,0.0,0.0,,unified=-1.759 held=177s
1775196513.589,237.9,rank_snapshot,0.18816,BUILD,2.1528,0.05426,0.0,0.0,0.0,,unified=-2.153 held=238s
1775196573.338,297.7,rank_snapshot,0.18834,EXPANSION,2.6867,-0.09276,0.0,0.0,0.0,,unified=-2.687 held=298s
1775196573.338,297.7,lifecycle_change,0.18834,EXPANSION,2.6867,-0.09276,0.00265,0.0,0.0,,BUILD->EXPANSION
1775196578.972,303.3,trailing_hit,0.18808,EXPANSION,0.0,0.0,0.00402,0.0,0.00885,,thresh=0.1000%
1775196579.399,303.8,exit,0.18808,EXPANSION,2.6867,-0.09276,0.00402,0.0,0.00885,trailing_expansion,
