ts,secs_from_entry,event_type,price,lc_state,aligned_score,velocity,cur_ret,peak_pnl,drawdown,exit_reason,extra
1775193448.347,0.0,entry,0.05917,,0.0,0.0,0.0,0.0,0.0,,score=+2.495 vol=0.2000%
1775193484.492,36.1,rank_snapshot,0.05914,BUILD,0.4744,-0.50512,0.0,0.0,0.0,,unified=+0.474 held=36s
1775193544.791,96.4,rank_snapshot,0.05931,BUILD,1.953,-0.00919,0.0,0.0,0.0,,unified=+1.953 held=96s
1775193559.324,111.0,trailing_armed,0.05941,BUILD,0.0,0.0,0.00406,0.0,0.0,,
1775193605.459,157.1,rank_snapshot,0.05982,BUILD,1.3568,-0.15594,0.0,0.0,0.0,,unified=+1.357 held=157s
1775193666.153,217.8,rank_snapshot,0.05963,BUILD,1.0592,-0.19137,0.0,0.0,0.0,,unified=+1.059 held=218s
1775193728.087,279.7,rank_snapshot,0.05975,BUILD,1.3801,-0.0633,0.0,0.0,0.0,,unified=+1.380 held=279s
1775193787.743,339.4,rank_snapshot,0.05942,DECAY,0.4607,-0.27731,0.0,0.0,0.0,,unified=+0.461 held=339s
1775193787.743,339.4,lifecycle_change,0.05942,DECAY,0.4607,-0.27731,0.00423,0.0,0.0,,BUILD->DECAY
1775193789.826,341.5,trailing_hit,0.05941,DECAY,0.0,0.0,0.00406,0.0,0.00983,,thresh=0.0500%
1775193790.094,341.7,exit,0.05941,DECAY,0.4607,-0.27731,0.00406,0.0,0.00983,trailing_decay,
