ts,secs_from_entry,event_type,price,lc_state,aligned_score,velocity,cur_ret,peak_pnl,drawdown,exit_reason,extra
1775194220.597,0.0,entry,0.04657,,0.0,0.0,0.0,0.0,0.0,,score=-1.629 vol=0.2000%
1775194271.121,50.5,rank_snapshot,0.04644,EXPANSION,2.1649,-0.13395,0.0,0.0,0.0,,unified=-2.165 held=51s
1775194271.121,50.5,lifecycle_change,0.04644,EXPANSION,2.1649,-0.13395,0.00279,0.0,0.0,,BUILD->EXPANSION
1775194331.803,111.2,rank_snapshot,0.04641,EXPANSION,1.4084,0.08866,0.0,0.0,0.0,,unified=-1.408 held=111s
1775194392.986,172.4,rank_snapshot,0.04644,DECAY,0.5444,0.28249,0.0,0.0,0.0,,unified=-0.544 held=172s
1775194392.986,172.4,lifecycle_change,0.04644,DECAY,0.5444,0.28249,0.00279,0.0,0.0,,EXPANSION->DECAY
1775194452.626,232.0,rank_snapshot,0.04646,DECAY,1.5086,-0.02919,0.0,0.0,0.0,,unified=-1.509 held=232s
1775194513.364,292.8,rank_snapshot,0.04644,DECAY,0.7005,0.18014,0.0,0.0,0.0,,unified=-0.700 held=293s
1775194574.644,354.0,rank_snapshot,0.04648,REVERSAL,0.6898,0.13777,0.0,0.0,0.0,,unified=-0.690 held=354s
1775194574.645,354.0,lifecycle_change,0.04648,REVERSAL,0.6898,0.13777,0.00193,0.0,0.0,,DECAY->REVERSAL
1775194575.153,354.6,exit,0.04648,REVERSAL,0.6898,0.13777,0.00193,0.0,0.00172,lifecycle_reversal,
