ts,secs_from_entry,event_type,price,lc_state,aligned_score,velocity,cur_ret,peak_pnl,drawdown,exit_reason,extra
1775196211.347,0.0,entry,0.05185,,0.0,0.0,0.0,0.0,0.0,,score=+2.385 vol=0.2000%
1775196222.742,11.4,trailing_armed,0.05206,BUILD,0.0,0.0,0.00405,0.0,0.0,,
1775196270.277,58.9,rank_snapshot,0.05238,BUILD,2.2908,-0.02344,0.0,0.0,0.0,,unified=+2.291 held=59s
1775196330.91,119.6,rank_snapshot,0.05193,REVERSAL,-0.5464,-0.72688,0.0,0.0,0.0,,unified=-0.546 held=120s
1775196330.911,119.6,lifecycle_change,0.05193,REVERSAL,-0.5464,-0.72688,0.00154,0.0,0.0,,BUILD->REVERSAL
1775196391.754,180.4,rank_snapshot,0.05242,BUILD,2.185,0.13769,0.0,0.0,0.0,,unified=+2.185 held=180s
1775196391.754,180.4,lifecycle_change,0.05242,BUILD,2.185,0.13769,0.01099,0.0,0.0,,REVERSAL->BUILD
1775196452.985,241.6,rank_snapshot,0.05238,BUILD,1.5605,-0.05285,0.0,0.0,0.0,,unified=+1.561 held=242s
1775196513.583,302.2,rank_snapshot,0.05343,EXPANSION,2.7574,0.25959,0.0,0.0,0.0,,unified=+2.757 held=302s
1775196513.584,302.2,lifecycle_change,0.05343,EXPANSION,2.7574,0.25959,0.03047,0.0,0.0,,BUILD->EXPANSION
1775196513.66,302.3,trailing_hit,0.05336,EXPANSION,0.0,0.0,0.02912,0.0,0.00131,,thresh=0.1000%
1775196514.09,302.7,exit,0.05336,EXPANSION,2.7574,0.25959,0.02912,0.0,0.00131,trailing_expansion,
