ts,secs_from_entry,event_type,price,lc_state,aligned_score,velocity,cur_ret,peak_pnl,drawdown,exit_reason,extra
1775196565.148,0.0,entry,0.05267,,0.0,0.0,0.0,0.0,0.0,,score=+2.757 vol=0.2000%
1775196573.338,8.2,rank_snapshot,0.0527,BUILD,1.9689,-0.19713,0.0,0.0,0.0,,unified=+1.969 held=8s
1775196584.494,19.3,trailing_armed,0.0529,BUILD,0.0,0.0,0.00437,0.0,0.0,,
1775196634.414,69.3,rank_snapshot,0.05366,BUILD,2.2696,-0.07267,0.0,0.0,0.0,,unified=+2.270 held=69s
1775196694.117,129.0,rank_snapshot,0.05491,BUILD,2.3038,-0.04596,0.0,0.0,0.0,,unified=+2.304 held=129s
1775196755.763,190.6,rank_snapshot,0.05472,BUILD,1.9386,-0.12577,0.0,0.0,0.0,,unified=+1.939 held=191s
1775196816.091,250.9,rank_snapshot,0.05387,BUILD,0.4763,-0.4599,0.0,0.0,0.0,,unified=+0.476 held=251s
1775196876.864,311.7,rank_snapshot,0.05299,DECAY,-0.0897,-0.48644,0.0,0.0,0.0,,unified=-0.090 held=312s
1775196876.865,311.7,lifecycle_change,0.05299,DECAY,-0.0897,-0.48644,0.00608,0.0,0.0,,BUILD->DECAY
1775196876.9,311.8,trailing_hit,0.05292,DECAY,0.0,0.0,0.00475,0.0,0.04096,,thresh=0.0500%
1775196877.386,312.2,exit,0.05292,DECAY,-0.0897,-0.48644,0.00475,0.0,0.04096,trailing_decay,
